,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.08,1.04,0.87,0.85,0.67,0.46,0.35,0.55,0.45,0.45,0.36,0.35,0.29,0.31,0.29
e_1,0.92,1.0,0.79,1.12,0.89,0.71,0.57,0.47,0.42,0.57,0.43,0.43,0.35,0.36,0.35,0.34
f_1,0.95,1.24,1.0,0.99,0.88,0.67,0.43,0.43,0.38,0.42,0.37,0.36,0.3,0.32,0.31,0.25
c_1,1.16,0.91,1.04,1.0,1.23,0.78,0.53,0.51,0.39,0.32,0.33,0.35,0.38,0.34,0.29,0.34
b_1,1.2,1.11,1.16,0.82,1.0,1.2,0.54,0.51,0.52,0.5,0.45,0.45,0.42,0.38,0.28,0.37
a_1,1.46,1.37,1.42,1.29,0.86,1.0,0.71,0.65,0.66,0.63,0.75,0.57,0.53,0.39,0.51,0.42
h_1,2.12,1.84,2.29,1.91,1.85,1.42,1.0,1.06,0.86,0.81,0.87,0.8,0.73,0.73,0.68,0.65
g_1,2.8,2.2,2.34,1.92,1.99,1.48,0.93,1.0,0.99,0.84,0.94,0.9,0.72,0.71,0.76,0.72
c_0,1.96,2.34,2.63,2.55,1.91,1.43,1.17,1.02,1.0,1.16,1.25,0.87,0.9,0.74,0.88,0.8
d_0,2.23,1.83,2.38,2.98,2.06,1.52,1.18,1.23,0.79,1.0,0.86,0.85,0.85,0.8,0.79,0.85
b_0,2.25,2.28,2.62,3.15,2.23,1.23,1.16,1.09,0.79,1.12,1.0,0.82,0.94,0.77,1.22,0.77
f_0,2.81,2.35,2.69,2.79,2.19,1.8,1.23,1.12,1.14,1.24,1.14,1.0,1.04,0.74,0.86,1.14
h_0,2.87,2.84,3.36,2.64,2.31,1.84,1.34,1.44,1.13,1.17,1.07,0.93,1.0,1.06,0.78,0.86
g_0,3.51,2.87,3.24,2.95,2.77,2.46,1.37,1.42,1.31,1.26,1.27,1.4,0.91,1.0,0.96,1.0
a_0,3.17,2.89,3.13,3.41,3.55,2.08,1.55,1.29,1.11,1.22,0.88,1.14,1.29,1.06,1.0,0.99
e_0,3.31,2.83,3.69,2.98,2.86,2.28,1.56,1.38,1.24,1.22,1.35,0.89,1.22,0.94,1.1,1.0
