,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,13726.56,2743.45,4260.51,7087.09,5904.15,25079.16,3320310.06,6829148.86,12600422.62,29079984.46,29370009.53,36814959.4,123504103.72,48312167.0,94898899.47,186547718.4
d_1,3531.58,14420.16,3686.39,4407.74,5992.26,25057.27,3273073.22,7343340.51,26391058.38,5449174.24,31636726.39,39603497.84,130199196.34,119272424.46,119272424.46,250470020.25
f_1,6065.92,3728.1,15405.97,4622.48,5428.16,19393.25,3159269.54,7588451.8,12037660.62,14379233.81,10441069.11,32684335.3,103888864.43,65338815.72,118063960.46,211217666.55
c_1,2607.04,3308.72,3897.81,24915.83,12415.87,23174.54,2923162.06,6171256.44,6098306.73,14727289.67,25931119.47,21021767.61,138039341.48,105274667.42,83886410.45,265853139.11
b_1,3047.77,3075.73,3439.94,5378.24,31045.36,57129.46,2898478.34,6958305.66,9223212.02,13866730.01,25172497.86,12227219.84,147897462.78,110363233.41,79577699.88,223615669.02
a_1,3293.94,3802.73,3912.6,6624.51,6615.89,170525.57,2592531.23,8254105.47,10913172.62,14737810.27,24013502.92,41042842.59,119673379.89,135118171.95,48724431.7,208377145.62
h_1,3460.28,4657.77,6162.14,7209.3,7183.35,27628.24,8487218.33,11452571.34,15601441.72,16010319.79,32476172.92,44830327.41,116849155.17,131970532.72,126105175.71,351459984.85
g_1,3812.08,7189.12,3913.81,4354.5,6975.02,33610.97,3911012.79,25721008.54,19347842.77,13867871.94,49073780.85,49161448.22,137666977.8,145000043.93,119411800.88,170031218.82
c_0,4153.29,5188.78,5303.5,3752.27,6144.14,29415.55,4447348.98,10228467.11,32372233.85,16706032.23,35479866.13,85831794.64,151075899.08,119479494.64,164616192.62,300758924.97
d_0,3948.34,2080.68,4652.69,14571.92,8578.93,23426.65,3993281.81,7122599.73,9498395.98,36582893.35,28844962.48,38947446.12,179701585.92,119971803.18,134968278.58,252908559.24
f_0,3277.5,4812.08,3806.25,6414.29,8778.85,31531.43,4369861.05,10584499.54,18152852.22,17688740.0,73286280.86,49869483.43,183450578.71,335326057.1,134757200.52,311262978.65
b_0,3777.83,6039.0,5478.2,7243.77,4255.8,18810.72,3969092.43,9571249.96,16715228.63,18783594.32,33043627.74,94236986.35,190718527.82,139770209.6,309491178.39,273164274.63
h_0,3317.05,4552.17,6730.1,8151.49,7104.75,33847.31,2218880.61,13018423.7,14177482.13,18143964.93,29740476.02,42270104.06,115656496.59,126507700.21,158134625.26,366910504.37
e_0,2393.17,4737.98,5550.97,6345.33,7662.02,33244.11,5003802.19,9728052.87,16889574.85,16244761.23,31768961.77,45095299.79,217397575.52,351123412.83,129476758.48,306229695.12
a_0,4001.69,5064.73,5595.02,7200.88,7394.74,13396.88,4426440.4,9728052.87,16356219.85,16650880.26,38285671.87,45645242.47,195837485.39,153616493.11,353317934.16,349462122.67
g_0,3162.45,6990.76,3794.47,8502.48,7575.19,31230.03,3442702.65,5243100.8,15116232.09,14350301.75,45873967.76,47973591.34,144827121.9,142971519.22,126008796.6,151171418.01
