,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.01,0.13,0.09,0.11,0.11,0.14,0.18,0.29,0.21,0.25,0.26,,0.25,0.42,0.36,0.35
e_1,0.05,0.01,0.12,0.09,0.11,0.18,0.17,0.2,0.24,0.28,0.27,0.3,0.25,0.35,0.34,
d_1,0.07,0.07,0.01,0.07,0.09,0.1,0.15,0.14,,0.18,0.17,0.19,0.2,0.28,0.15,0.32
c_1,0.05,0.05,0.07,0.01,0.07,0.13,0.12,0.13,0.07,,0.15,0.18,0.15,0.24,0.22,
b_1,0.04,0.03,0.04,0.03,,0.05,0.12,0.1,0.07,0.11,,0.11,0.1,0.12,0.18,0.22
a_1,0.02,0.01,0.01,0.01,0.02,,0.04,0.04,0.03,0.04,0.04,0.05,0.05,,0.05,
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
