,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.64,4.2,2.68,2.92,2.58,2.41,9.8,9.38,12.17,13.23,12.21,9.81,18.22,12.83,9.22,19.84
e_1,2.99,5.82,2.44,3.63,2.93,2.53,10.13,8.08,11.33,22.94,12.75,12.67,22.23,15.94,12.32,22.39
d_1,3.05,2.66,6.76,2.37,2.6,2.86,10.72,11.88,23.23,10.66,16.13,14.74,21.32,16.1,13.34,22.11
c_1,2.59,2.41,2.7,7.03,4.84,3.45,9.57,10.5,9.64,11.62,10.17,13.02,19.82,12.77,14.52,17.34
b_1,2.68,2.39,2.73,3.26,7.8,5.66,10.07,10.23,12.08,12.34,9.69,13.14,20.86,10.2,13.41,19.79
a_1,2.93,2.61,3.19,2.83,2.71,11.31,12.52,12.1,13.93,12.72,14.97,13.52,19.76,12.02,16.16,21.75
h_1,3.81,2.93,3.01,2.98,2.73,2.88,19.86,14.55,14.72,12.72,14.99,14.33,19.67,18.61,16.18,27.37
g_1,2.67,2.53,4.54,2.79,2.67,3.11,10.21,23.65,17.49,10.35,17.2,22.56,22.18,17.82,18.56,21.72
c_0,3.6,3.12,3.45,2.66,2.24,2.64,12.49,11.24,21.17,14.2,26.13,15.75,24.24,20.95,17.75,25.27
d_0,3.11,2.89,2.24,5.3,3.3,2.75,10.91,10.58,9.94,19.88,14.76,12.42,23.33,15.15,14.47,21.58
b_0,3.44,2.99,3.48,3.32,1.94,2.65,12.76,12.2,13.73,13.31,23.42,14.12,22.31,30.22,15.77,24.47
f_0,2.55,2.65,3.38,3.01,2.92,3.54,11.3,12.12,14.97,17.06,17.28,27.92,23.63,17.88,35.69,28.44
h_0,3.87,3.1,3.35,2.72,3.06,2.87,7.16,12.75,12.21,12.52,13.57,12.77,18.73,15.58,14.87,27.21
a_0,3.38,2.84,3.31,3.44,3.29,2.5,11.93,9.48,14.33,14.47,14.51,12.69,23.59,27.71,13.02,23.12
e_0,3.37,2.37,3.66,3.0,2.99,2.43,10.55,14.68,13.98,15.7,16.39,17.26,22.98,23.84,34.67,22.79
g_0,2.75,2.55,4.43,3.18,3.03,2.73,10.23,10.18,14.93,13.8,15.79,20.16,23.81,17.68,20.13,19.69
