,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.75,0.62,0.63,0.72,0.54,0.61,0.89,1.59,0.72,0.84,0.99,1.0,1.05,0.76,1.09,0.43
f_1,1.07,2.86,0.64,0.54,0.51,0.42,0.84,0.87,0.83,0.92,0.99,0.36,1.08,0.84,0.89,0.62
d_1,0.65,0.69,3.04,0.47,0.52,0.51,0.91,0.3,1.19,1.76,0.97,1.01,0.92,1.17,0.95,0.89
c_1,0.48,0.63,0.52,3.18,1.23,0.52,0.92,1.0,0.77,0.4,0.84,0.82,0.95,0.96,0.85,0.97
b_1,0.5,0.56,0.61,0.66,3.58,1.29,0.85,0.95,0.77,0.83,0.41,1.02,0.73,0.8,0.71,1.25
a_1,0.62,0.77,0.52,0.7,0.59,4.81,0.86,0.9,0.78,0.79,0.75,0.89,0.89,0.31,1.05,0.96
h_1,0.7,0.97,0.81,0.63,0.57,0.8,3.26,1.07,1.44,1.13,1.22,1.19,0.7,0.96,1.78,1.31
d_0,0.73,0.76,0.35,1.58,0.81,0.63,1.12,2.2,0.97,0.71,1.06,1.16,1.32,1.28,1.19,1.26
g_1,0.65,0.65,1.26,0.7,0.68,0.45,1.02,0.95,4.0,1.09,1.21,1.66,1.26,1.28,0.56,1.24
c_0,0.72,0.85,0.83,0.44,0.52,0.79,1.38,0.83,1.18,2.58,2.29,1.41,1.44,1.49,1.36,1.49
b_0,0.75,0.73,0.89,0.76,0.32,0.62,1.23,1.23,1.0,1.08,2.79,1.38,1.39,2.7,1.45,1.38
f_0,0.6,0.48,0.81,0.9,0.81,0.81,1.15,1.19,1.22,0.99,1.26,2.86,1.25,1.36,1.46,2.52
h_0,0.72,0.99,0.85,0.82,0.72,0.5,0.55,1.08,1.59,1.05,1.34,1.16,0.62,1.14,1.41,1.2
a_0,0.75,0.93,0.8,0.86,0.74,0.18,1.2,1.07,1.28,1.06,1.41,1.39,1.53,3.62,1.06,1.18
g_0,0.71,0.57,1.34,0.78,0.69,0.71,0.94,0.96,0.71,0.89,1.09,1.93,1.05,1.15,0.87,1.58
e_0,0.33,0.75,0.87,1.14,0.82,0.9,1.06,0.97,1.1,1.04,1.26,1.4,1.26,1.13,1.11,3.76
