,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.46,0.16,0.08,0.07,0.09,0.07,0.4,0.41,0.38,0.3,0.25,,0.53,,0.33,0.55
e_1,0.08,5.59,0.07,0.08,0.05,0.1,0.28,0.61,0.32,0.22,0.43,0.42,0.61,,0.42,0.64
c_1,0.08,0.06,6.45,0.07,0.15,0.07,0.29,0.42,,0.34,0.3,0.42,0.68,0.48,0.39,0.48
d_1,0.11,0.09,0.05,6.65,0.08,0.05,0.23,,0.67,0.3,0.38,0.42,0.7,0.4,0.43,0.57
b_1,0.09,0.06,0.09,0.08,7.33,0.18,0.36,0.34,0.35,0.19,,0.38,0.65,0.52,,0.35
a_1,0.08,0.06,0.05,0.06,0.09,10.26,0.36,0.44,0.45,0.38,,0.4,0.53,,,0.61
h_1,0.42,0.28,0.23,0.31,0.27,0.25,15.11,1.45,1.15,1.56,1.6,1.78,,1.41,1.41,2.81
d_0,0.33,0.43,0.84,,0.32,0.34,1.33,11.12,1.99,1.22,2.16,1.68,3.24,2.77,1.54,2.42
c_0,0.26,0.44,,0.39,0.38,0.4,2.21,1.83,12.8,1.66,2.92,2.02,2.96,1.44,1.9,3.42
g_1,0.24,0.2,0.31,0.51,0.26,0.29,0.63,1.27,1.91,19.35,1.34,2.28,2.36,,,
b_0,0.47,0.42,0.31,0.34,,,1.76,1.38,2.09,1.27,15.21,1.89,3.59,,3.71,3.22
f_0,,0.35,0.6,0.41,0.4,0.28,1.72,2.13,1.5,1.14,1.89,15.47,2.55,5.62,,2.87
h_0,0.81,0.44,0.51,0.38,0.58,0.61,,3.32,3.94,3.18,3.9,1.66,,2.29,3.46,5.6
e_0,,,0.43,0.56,0.47,,1.05,3.15,1.89,,,2.19,2.62,21.7,,3.58
a_0,0.44,0.38,0.39,0.43,,,1.06,2.21,1.45,,2.43,,3.79,,23.39,
g_0,0.4,0.52,0.5,1.13,0.57,0.57,2.23,2.11,3.3,,2.38,4.99,3.97,2.68,,
