,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.84,1.34,0.95,0.79,0.68,0.43,0.43,0.44,0.37,0.35,0.36,0.28,0.36,0.32,0.26
d_1,1.17,1.0,1.09,0.87,0.91,0.58,0.5,0.4,0.42,0.55,0.41,0.4,0.36,0.27,0.31,0.28
e_1,0.74,0.92,1.0,1.08,1.01,0.87,0.56,0.47,0.62,0.43,0.47,0.46,0.4,0.35,0.33,0.39
c_1,1.06,1.15,0.92,1.0,1.29,0.59,0.45,0.4,0.32,0.32,0.39,0.31,0.4,0.34,0.31,0.34
b_1,1.27,1.1,1.0,0.77,1.0,1.23,0.62,0.55,0.46,0.49,0.43,0.46,0.36,0.4,0.32,0.37
a_1,1.48,1.72,1.13,1.69,0.82,1.0,0.76,0.61,0.62,0.52,0.58,0.58,0.5,0.44,0.35,0.41
h_1,2.36,2.05,1.81,2.23,1.65,1.38,1.0,1.14,0.8,0.78,0.74,0.79,0.67,0.76,0.55,0.62
g_1,2.31,2.58,2.05,2.36,1.81,1.58,0.89,1.0,0.82,0.9,0.99,0.97,0.66,0.64,0.63,0.7
d_0,2.22,2.56,1.65,3.18,2.15,1.64,1.24,1.25,1.0,0.81,0.85,0.85,0.82,0.73,0.81,0.71
c_0,2.65,1.83,2.23,2.79,2.05,1.91,1.3,1.14,1.27,1.0,1.05,1.35,0.95,0.82,0.9,0.9
f_0,2.6,2.56,2.08,2.64,2.3,1.7,1.31,1.07,1.22,0.93,1.0,1.03,0.84,0.64,0.81,1.11
b_0,2.81,2.52,2.14,3.16,2.26,1.66,1.3,1.03,1.14,0.74,1.0,1.0,0.96,0.82,1.2,0.79
h_0,3.51,2.82,2.57,2.58,2.71,1.86,1.55,1.45,1.19,1.04,1.17,1.07,1.0,1.13,0.87,0.78
g_0,2.81,3.64,2.97,2.97,2.52,2.22,1.3,1.53,1.26,1.28,1.52,1.24,0.86,1.0,0.95,0.88
a_0,2.91,3.3,2.95,3.19,3.09,2.93,1.79,1.49,1.21,1.03,1.3,0.83,1.19,1.08,1.0,0.76
e_0,3.92,3.31,2.72,3.03,2.8,2.28,1.63,1.44,1.35,1.1,0.93,1.31,1.3,1.12,1.43,1.0
