,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.44,1.19,0.61,0.69,0.51,0.54,0.91,0.62,0.79,0.87,0.96,0.35,0.85,0.84,0.77,0.89
e_1,0.69,2.53,0.61,0.83,0.6,0.59,0.88,0.82,0.78,1.69,0.96,1.02,1.03,0.92,0.53,0.89
d_1,0.64,0.57,2.85,0.45,0.66,0.52,0.93,1.22,1.75,0.41,1.05,1.14,1.03,1.05,1.04,1.2
c_1,0.65,0.53,0.64,2.9,1.26,0.53,0.9,0.89,0.37,0.89,0.72,0.85,0.9,0.98,0.99,0.84
b_1,0.63,0.65,0.6,0.64,3.17,1.42,0.79,0.86,0.8,0.81,0.48,0.92,0.76,0.69,0.85,0.85
a_1,0.81,0.61,0.69,0.77,0.5,4.45,0.98,0.87,1.01,1.07,1.02,1.03,1.19,0.49,1.02,0.65
h_1,1.19,0.71,0.94,0.62,0.7,0.79,2.71,1.27,1.14,1.05,1.0,0.98,0.75,0.98,1.04,1.58
g_1,0.67,0.64,1.34,0.72,0.79,0.7,1.03,3.35,1.1,0.84,1.23,1.94,1.33,1.19,1.08,0.9
c_0,0.89,0.81,0.88,0.45,0.64,0.73,1.08,1.09,2.32,1.08,2.37,1.26,1.22,1.43,1.2,1.44
d_0,0.86,0.71,0.4,1.59,0.71,0.75,1.02,1.12,0.7,1.92,1.12,1.08,1.42,1.27,1.41,1.23
b_0,0.96,0.64,0.92,0.89,0.5,0.6,1.23,0.99,1.39,1.03,2.43,1.26,1.3,2.63,1.45,1.39
f_0,0.62,0.6,0.89,0.72,0.85,0.92,1.34,1.14,1.39,1.12,1.37,2.88,1.5,1.31,2.72,1.41
h_0,1.12,0.72,0.87,0.93,0.71,0.52,0.7,1.56,1.11,0.98,1.14,1.21,0.69,1.22,1.48,1.6
a_0,0.81,0.78,0.79,0.9,0.83,0.44,1.35,1.08,1.17,1.16,1.19,1.34,1.44,2.9,1.36,1.46
e_0,1.11,0.52,0.76,0.9,0.57,0.79,1.36,1.25,1.36,1.12,1.33,1.23,1.35,1.25,3.47,1.16
g_0,0.55,0.76,1.36,0.74,0.78,0.83,1.02,0.93,1.24,0.81,1.08,2.0,1.0,0.99,1.21,0.93
