,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.45,3.99,3.85,4.44,3.77,3.84,0.77,0.8,1.11,0.86,3.66,0.89,0.45,1.04,0.74,0.87
e_1,2.23,0.45,5.18,4.39,4.96,4.44,1.51,0.92,1.59,0.8,0.95,0.8,0.71,2.59,1.26,0.62
c_1,5.44,3.87,0.42,5.34,4.77,3.31,1.17,0.58,1.59,3.32,0.88,0.78,0.69,1.03,0.83,0.65
d_1,4.48,5.84,4.75,0.41,4.15,4.28,1.54,4.32,0.76,0.79,0.82,1.26,0.73,0.9,0.95,0.4
b_1,5.33,6.12,2.54,5.83,0.38,5.97,1.45,1.1,1.67,1.16,1.0,4.41,0.67,1.04,1.13,0.55
a_1,6.32,5.82,5.41,6.52,3.04,0.33,1.98,1.5,1.6,1.56,1.28,1.52,0.82,0.98,4.38,0.98
h_1,4.82,6.0,5.19,4.74,5.95,6.21,0.34,0.95,1.47,1.15,1.01,0.88,1.8,0.91,0.83,0.64
d_0,5.98,3.11,6.47,18.52,5.31,4.64,1.78,0.46,1.87,1.32,1.24,1.26,0.96,0.89,0.96,1.57
g_1,6.15,5.02,7.32,5.38,6.27,6.81,1.04,1.31,0.32,0.95,1.29,0.91,0.62,1.17,1.3,2.36
c_0,6.92,5.26,28.8,2.51,8.52,6.11,1.38,1.14,2.32,0.42,1.1,1.11,0.98,0.91,1.32,0.95
f_0,17.92,4.85,5.99,4.21,6.17,6.69,2.39,0.95,1.03,1.14,0.4,1.16,0.79,1.04,1.42,0.61
b_0,6.66,5.53,7.86,5.67,16.02,6.48,1.64,1.22,1.46,0.57,1.1,0.39,0.68,0.95,1.02,0.73
h_0,9.29,5.22,6.81,7.34,6.17,6.01,4.47,1.33,2.02,1.4,1.26,1.32,1.85,1.19,1.25,1.07
e_0,8.82,13.27,10.27,5.61,8.67,6.41,2.56,1.98,1.67,1.06,0.65,1.42,1.06,0.32,1.04,0.96
a_0,10.9,7.15,7.09,7.94,7.12,22.12,2.15,1.8,2.12,1.21,1.93,0.72,1.28,1.16,0.33,1.33
g_0,9.48,9.33,6.15,7.43,6.92,8.96,1.71,1.37,4.59,2.1,1.21,1.51,1.05,1.19,1.48,2.93
