,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.42,0.89,0.82,0.73,0.79,0.78,0.46,0.43,0.32,0.6,0.43,0.34,0.3,0.34,0.23,0.41
f_1,0.79,0.41,0.91,0.87,0.78,0.68,0.36,0.34,0.45,0.38,0.32,0.39,0.24,0.34,0.34,0.29
e_1,0.87,0.52,0.4,0.9,0.91,0.84,0.43,0.39,0.49,0.43,0.4,0.47,0.33,0.38,0.37,0.52
c_1,0.96,0.86,0.7,0.37,1.12,0.71,0.35,0.39,0.39,0.23,0.29,0.31,0.3,0.34,0.3,0.36
b_1,0.8,0.99,0.75,0.47,0.36,1.12,0.55,0.4,0.49,0.33,0.56,0.38,0.33,0.4,0.35,0.37
a_1,0.88,0.88,0.82,0.94,0.45,0.3,0.52,0.4,0.49,0.39,0.41,0.44,0.4,0.51,0.39,0.32
h_1,0.62,0.75,0.74,0.93,0.65,0.68,0.25,0.31,0.41,0.34,0.3,0.34,0.34,0.27,0.29,0.28
c_0,0.47,0.85,0.8,1.04,0.65,0.73,0.4,0.25,0.45,0.43,0.43,0.33,0.31,0.39,0.29,0.31
g_1,0.74,0.82,0.72,0.78,0.72,0.61,0.29,0.3,0.23,0.31,0.31,0.32,0.24,0.33,0.29,0.26
d_0,0.86,0.71,0.46,0.85,0.88,0.71,0.43,0.32,0.48,0.25,0.39,0.31,0.28,0.36,0.3,0.31
b_0,0.59,0.76,0.67,1.09,0.86,0.65,0.43,0.2,0.42,0.33,0.24,0.39,0.3,0.41,0.28,0.34
f_0,0.69,1.18,0.62,0.83,0.65,0.65,0.37,0.33,0.31,0.34,0.3,0.22,0.29,0.38,0.19,0.4
h_0,0.69,0.8,0.65,0.75,0.73,0.63,0.47,0.31,0.4,0.32,0.32,0.32,0.34,0.3,0.31,0.28
a_0,0.66,0.82,0.7,0.94,0.78,0.97,0.39,0.25,0.4,0.41,0.19,0.3,0.29,0.2,0.26,0.33
g_0,0.73,0.78,0.7,0.8,0.69,0.6,0.34,0.31,0.42,0.35,0.29,0.35,0.22,0.3,0.31,0.35
e_0,0.63,0.94,0.91,0.63,0.7,0.79,0.4,0.35,0.36,0.41,0.3,0.18,0.28,0.31,0.23,0.2
