,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,12893.07,2841.15,6679.17,4636.44,5614.4,31752.8,3235072.18,6187282.84,12211718.25,14805320.03,9114038.34,27311233.03,101226770.48,168419957.33,154376087.28,103991762.91
d_1,3726.84,13776.96,3440.08,3534.77,6498.07,28534.72,3131826.73,8889830.59,6839353.74,36024909.76,25346437.98,41459295.93,127222949.55,193170396.4,176159304.67,189343338.35
e_1,3353.93,2727.88,14496.82,5045.42,6945.81,42288.63,3307874.51,8094394.24,21949129.55,18510415.5,23780772.2,34468023.79,125536256.76,183008007.7,161716380.68,106026392.08
c_1,3298.88,3304.55,3091.58,19500.66,13194.71,26310.76,3332264.11,6910662.55,11344034.95,6634135.22,19853485.42,23714984.65,111462159.26,181715835.78,142977803.93,181651701.42
b_1,3430.55,3277.06,3233.11,4788.93,32337.93,73792.09,3710810.52,7505543.58,11503543.66,17907368.61,22663380.73,14780983.55,100177303.35,190883177.69,115767842.44,196409304.42
a_1,3447.14,4026.1,3069.95,5128.61,5623.27,269823.44,3169563.96,8973693.94,13160632.28,19327155.57,27354507.82,34714403.38,115728862.82,172498253.14,54452632.35,178322734.48
h_1,5204.38,4188.15,3762.18,6980.7,7797.93,38971.97,9919479.18,11404416.24,15232529.05,20699662.08,24038966.57,38251243.98,69078008.66,320054625.99,175284165.89,267623634.38
g_1,3205.6,6805.91,3867.69,5717.53,6709.86,44330.96,3711974.07,28207801.78,11665237.53,24322242.07,41168901.4,40340309.33,130992198.0,133870609.63,140863399.21,243645794.31
d_0,3825.14,2784.44,4184.43,10548.18,8876.67,43292.31,4677425.29,10355694.5,27901375.74,15982210.77,20734976.59,37494665.56,120798649.26,220902467.05,211310366.9,216860426.04
c_0,3847.58,4722.66,3926.58,3722.28,7080.22,54798.69,4516999.41,12398256.85,17647624.62,45853966.66,33357076.0,77462567.55,156180201.65,257758658.5,258049115.67,278793235.15
f_0,2337.89,5283.87,3425.34,5646.03,9507.08,51396.06,4721959.24,13223550.0,14870519.97,26129763.38,58042777.01,44768020.28,146027548.96,236735037.18,221153078.41,484805117.78
b_0,4313.18,4953.08,3512.99,6874.76,4544.28,38129.63,4514953.52,8788487.99,16167371.32,21779384.3,29617500.76,78857327.85,163049200.24,261690570.24,451066054.01,278207619.92
h_0,5503.56,4796.53,4055.21,5361.71,8709.06,42687.37,2423288.73,12781553.29,13296763.71,22161422.44,31011117.31,41371445.49,82226597.44,288714882.83,200341166.02,193143471.98
g_0,3321.12,6477.24,4087.83,5684.59,7155.33,45234.21,4499217.76,7130053.26,13397226.7,25468366.57,43545653.45,42477021.61,107489782.6,136006933.67,231466996.54,241076517.84
a_0,3924.79,4853.67,4237.47,5280.61,8729.4,29298.28,5002684.46,9584835.22,17276285.43,20303463.95,32951447.19,37617675.34,164853549.09,272611846.04,563272712.86,175909916.98
e_0,3621.91,5126.53,2109.65,6317.71,9510.03,47877.43,5345242.66,12182289.72,15183325.03,21785566.52,30550677.96,47427120.43,162900553.92,286865592.07,241480112.93,640440373.61
