,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.03,1.21,1.0,0.93,0.81,0.56,0.66,0.59,0.61,0.51,0.5,0.48,0.46,0.53,0.51
d_1,0.97,1.0,1.08,0.99,0.91,0.78,0.68,0.54,0.85,0.7,0.77,0.58,0.65,0.63,0.55,0.41
e_1,0.82,0.92,1.0,1.05,0.92,0.78,0.73,0.71,0.69,0.89,0.66,0.65,0.68,0.54,0.73,0.83
c_1,1.0,1.01,0.95,1.0,1.5,0.88,0.63,0.7,0.6,0.48,0.65,0.63,0.63,0.58,0.57,0.71
b_1,1.08,1.1,1.08,0.67,1.0,1.47,0.89,0.61,0.77,0.81,0.43,0.8,0.61,0.72,0.6,0.59
a_1,1.23,1.28,1.28,1.13,0.68,1.0,1.01,0.97,0.74,0.71,0.79,0.79,0.87,1.02,0.66,0.72
h_1,1.79,1.46,1.32,1.6,1.09,1.01,1.0,1.11,0.89,0.83,0.77,0.8,0.84,0.74,0.75,0.83
g_1,1.51,1.9,1.38,1.45,1.5,1.06,0.92,1.0,0.85,0.87,0.86,0.94,0.72,1.04,0.72,0.84
c_0,1.77,1.16,1.43,1.76,1.33,1.35,1.12,1.22,1.0,1.06,1.39,0.91,1.11,1.07,0.94,0.87
d_0,1.67,1.44,1.07,2.18,1.26,1.4,1.19,1.25,0.91,1.0,0.94,1.12,0.9,0.84,0.88,0.89
b_0,2.01,1.29,1.38,1.65,1.93,1.31,1.2,1.16,0.76,1.06,1.0,0.89,1.0,1.3,0.85,0.89
f_0,2.21,1.83,1.43,1.62,1.27,1.24,1.25,0.98,1.05,0.95,1.08,1.0,1.17,1.02,1.28,0.73
h_0,2.11,1.55,1.4,1.6,1.65,1.14,1.13,1.36,0.86,1.04,1.06,0.9,1.0,0.9,1.03,1.08
a_0,2.2,1.45,1.79,1.73,1.5,,1.39,1.05,0.93,1.19,0.78,1.04,1.11,1.0,1.15,1.08
e_0,1.82,1.8,1.45,1.86,1.78,1.37,1.32,1.35,1.11,1.03,1.18,0.77,0.99,0.83,1.0,1.0
g_0,2.08,2.43,1.17,1.45,1.59,1.41,1.21,1.25,1.19,1.07,1.12,1.35,0.92,0.95,0.98,1.0
