,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.03,1.11,0.82,0.79,0.66,0.5,0.36,0.54,0.41,0.46,0.39,0.33,0.34,0.33,0.27
e_1,0.96,1.0,0.76,1.11,0.95,0.74,0.53,0.48,0.43,0.56,0.4,0.51,0.38,0.36,0.35,0.36
f_1,0.91,1.33,1.0,0.97,0.82,0.61,0.39,0.53,0.42,0.42,0.4,0.35,0.3,0.33,0.27,0.29
c_1,1.22,0.93,1.02,1.0,1.29,0.82,0.54,0.45,0.41,0.32,0.38,0.46,0.35,0.32,0.32,0.38
b_1,1.27,1.02,1.27,0.78,1.0,1.27,0.63,0.52,0.51,0.46,0.5,0.45,0.39,0.34,0.45,0.43
a_1,1.5,1.33,1.63,1.22,0.78,1.0,0.75,0.65,0.6,0.66,0.63,0.51,0.63,0.48,0.51,0.5
h_1,1.91,1.92,2.54,1.89,1.61,1.32,1.0,1.01,0.88,0.86,0.8,0.68,0.74,0.58,0.65,0.75
g_1,2.74,1.97,1.95,2.13,1.95,1.55,0.98,1.0,0.97,0.8,0.89,0.99,0.68,0.78,0.86,0.67
c_0,1.86,2.38,2.27,2.34,1.88,1.68,1.16,1.06,1.0,1.18,1.21,0.88,0.83,0.84,0.76,0.71
d_0,2.41,1.82,2.39,3.14,2.22,1.49,1.2,1.2,0.83,1.0,0.86,1.0,0.89,0.78,0.86,0.86
b_0,2.26,2.44,2.38,2.63,1.92,1.62,1.26,1.19,0.82,1.11,1.0,0.89,1.0,1.22,0.81,0.85
f_0,2.45,1.93,2.9,2.26,2.23,2.06,1.42,0.99,1.08,1.02,1.07,1.0,1.02,0.87,1.31,0.72
h_0,3.03,2.65,3.31,2.81,2.59,1.62,1.35,1.44,1.24,1.08,1.02,0.97,1.0,0.99,0.8,1.09
a_0,2.91,2.88,2.94,3.14,2.78,2.17,1.68,1.31,1.18,1.26,0.88,1.17,0.99,1.0,0.91,0.91
e_0,3.02,2.92,3.51,3.15,2.38,1.87,1.5,1.21,1.29,1.14,1.22,0.8,1.26,1.11,1.0,0.98
g_0,3.56,2.8,3.43,2.72,2.49,2.06,1.35,1.52,1.38,1.19,1.16,1.48,0.92,1.13,1.01,1.0
