,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.92,0.67,0.37,0.36,0.33,0.19,0.34,0.36,0.28,0.32,0.31,0.21,0.36,0.23,0.28,0.14
e_1,0.44,0.92,0.35,0.46,0.37,0.22,0.35,0.61,0.27,0.33,0.34,0.33,0.36,0.23,0.33,0.15
d_1,0.48,0.43,0.93,0.33,0.31,0.21,0.35,0.28,0.31,0.59,0.39,0.31,0.35,0.24,0.29,0.23
c_1,0.41,0.37,0.4,0.91,0.59,0.23,0.32,0.31,0.28,0.23,0.22,0.32,0.34,0.24,0.28,0.22
b_1,0.45,0.38,0.37,0.39,0.91,0.47,0.39,0.37,0.26,0.31,0.26,0.32,0.32,0.17,0.28,0.22
a_1,0.45,0.43,0.43,0.41,0.3,0.9,0.45,0.35,0.31,0.31,0.32,0.27,0.39,0.21,0.27,0.21
h_1,0.55,0.46,0.5,0.42,0.36,0.2,0.63,0.28,0.37,0.33,0.35,0.3,0.29,0.22,0.36,0.22
d_0,0.46,0.39,0.27,0.72,0.45,0.26,0.41,0.54,0.24,0.24,0.32,0.31,0.31,0.21,0.33,0.25
g_1,0.45,0.41,0.64,0.34,0.33,0.23,0.36,0.32,0.64,0.41,0.39,0.49,0.42,0.28,0.26,0.23
c_0,0.52,0.49,0.46,0.37,0.28,0.25,0.37,0.36,0.31,0.55,0.67,0.35,0.41,0.36,0.31,0.25
b_0,0.51,0.46,0.53,0.42,0.3,0.17,0.41,0.35,0.29,0.39,0.56,0.31,0.4,0.48,0.34,0.24
f_0,0.4,0.33,0.5,0.45,0.42,0.25,0.42,0.39,0.32,0.39,0.42,0.54,0.46,0.31,0.31,0.47
h_0,0.6,0.45,0.5,0.38,0.34,0.23,0.31,0.32,0.4,0.34,0.35,0.28,0.28,0.27,0.36,0.21
a_0,0.48,0.45,0.51,0.48,0.37,0.19,0.42,0.36,0.34,0.34,0.39,0.34,0.39,0.44,0.35,0.21
g_0,0.42,0.37,0.6,0.47,0.4,0.23,0.4,0.31,0.25,0.37,0.39,0.45,0.35,0.27,0.27,0.24
e_0,0.5,0.29,0.45,0.45,0.44,0.27,0.4,0.38,0.31,0.36,0.38,0.35,0.48,0.26,0.35,0.43
