,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.84,0.9,1.18,1.02,1.02,0.99,1.42,1.12,0.89,1.07,1.08,1.13,1.1,1.12,1.12
f_1,1.2,1.0,0.91,1.01,1.0,0.87,0.88,0.97,1.17,0.99,0.9,0.87,0.95,0.86,0.95,0.76
d_1,1.1,1.1,1.0,0.86,0.92,0.93,0.97,1.0,0.75,1.36,1.09,0.98,1.0,1.05,0.88,1.02
c_1,0.84,0.99,1.14,1.0,1.4,0.97,1.07,0.68,1.01,0.82,0.81,0.9,0.86,0.93,0.85,0.97
b_1,0.95,1.01,1.08,0.73,1.0,1.57,1.05,0.9,1.07,1.11,1.03,1.13,0.89,1.18,1.04,1.0
a_1,1.01,1.13,1.07,1.03,0.65,1.0,1.18,1.04,1.07,1.06,1.28,1.1,1.06,1.04,1.32,1.06
h_1,0.99,1.15,1.02,0.93,0.95,0.83,1.0,0.93,1.1,0.94,0.91,0.94,0.97,0.95,1.11,1.04
d_0,0.72,0.99,0.99,1.46,1.13,0.97,1.07,1.0,1.1,0.73,0.97,1.0,0.99,0.95,1.01,1.05
g_1,0.91,0.85,1.31,0.99,0.94,0.89,0.91,0.9,1.0,1.03,1.03,1.31,1.0,0.8,1.11,1.12
c_0,1.12,0.98,0.75,1.19,0.9,0.9,1.06,1.37,1.0,1.0,1.41,1.09,1.15,1.14,1.19,0.98
b_0,0.92,1.12,0.93,1.24,1.06,0.71,1.04,1.1,0.98,0.68,1.0,1.01,1.44,1.04,0.96,1.03
f_0,0.92,1.14,1.05,1.05,0.93,0.9,1.03,0.99,0.77,0.94,1.03,1.0,1.03,1.08,0.91,1.54
a_0,0.91,1.02,0.99,1.21,1.17,0.93,1.04,1.04,0.95,0.84,0.71,0.91,1.0,0.99,0.9,1.13
h_0,0.93,1.1,0.97,1.03,0.86,0.99,1.03,1.05,1.27,0.88,0.97,0.91,0.99,1.0,1.16,0.93
g_0,0.91,1.05,1.18,1.1,0.94,0.76,0.94,0.97,0.9,0.87,1.0,1.11,1.15,0.84,1.0,1.04
e_0,0.88,1.31,1.01,0.99,1.02,0.93,0.98,0.98,0.89,0.96,0.95,0.7,0.93,1.08,0.93,1.0
