,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.85,0.54,1.18,0.62,0.48,0.53,0.82,0.67,0.88,0.71,0.31,0.82,0.86,0.86,0.92,0.54
d_1,0.73,2.95,0.58,0.48,0.57,0.44,0.83,1.0,0.45,1.77,1.1,1.21,1.11,0.98,1.06,1.0
e_1,0.64,0.5,2.9,0.66,0.63,0.69,0.89,0.88,1.62,0.93,1.0,1.01,1.1,0.98,0.92,0.5
c_1,0.63,0.61,0.53,3.06,1.19,0.41,0.86,0.76,0.84,0.26,0.81,0.7,0.94,0.93,0.9,1.01
b_1,0.65,0.61,0.54,0.65,3.33,1.13,0.97,0.82,0.83,0.91,0.95,0.38,0.86,0.97,0.72,1.06
a_1,0.65,0.74,0.51,0.68,0.5,5.08,0.87,0.99,0.96,0.95,1.17,1.02,0.96,0.86,0.24,0.93
h_1,0.99,0.73,0.63,0.98,0.68,0.57,3.01,1.34,1.1,1.07,1.01,1.24,0.56,1.7,1.08,1.5
g_1,0.6,1.21,0.67,0.79,0.56,0.78,0.85,3.61,0.87,1.26,1.73,1.19,1.06,0.56,0.84,1.36
d_0,0.7,0.48,0.73,1.43,0.73,0.69,1.23,1.22,2.25,0.87,0.9,1.1,1.04,1.07,1.42,1.07
c_0,0.71,0.86,0.69,0.42,0.63,0.9,1.22,1.34,1.27,2.46,1.51,2.31,1.43,1.2,1.53,1.55
f_0,0.4,1.01,0.58,0.77,0.83,0.83,1.22,1.51,1.12,1.3,2.75,1.4,1.31,1.24,1.38,2.59
b_0,0.82,0.94,0.61,0.96,0.33,0.63,1.21,0.95,1.18,1.06,1.23,2.53,1.35,1.27,2.55,1.43
h_0,1.04,0.91,0.72,0.73,0.75,0.67,0.63,1.39,1.0,1.09,1.35,1.25,0.68,1.53,1.19,1.07
g_0,0.6,1.21,0.71,0.79,0.63,0.76,1.21,0.76,1.08,1.23,1.89,1.32,0.95,0.63,1.38,1.3
a_0,0.72,0.93,0.73,0.78,0.7,0.44,1.4,1.0,1.14,0.92,1.32,1.07,1.41,1.5,3.72,0.82
e_0,0.67,0.99,0.32,0.81,0.79,0.74,1.51,1.41,1.11,1.04,1.23,1.48,1.47,1.51,1.48,3.83
