,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.39,1.66,1.03,1.03,0.9,0.85,1.79,1.53,1.81,2.2,2.05,1.46,1.83,2.57,1.15,2.36
e_1,1.12,2.42,0.85,1.25,1.06,0.84,2.1,1.57,1.84,3.75,2.18,2.02,1.84,2.64,1.4,2.26
d_1,1.22,0.98,2.46,0.87,0.95,0.93,1.99,1.81,3.57,1.56,2.64,2.43,2.1,2.83,1.89,2.61
c_1,0.98,1.03,1.02,2.47,1.83,0.83,1.61,1.32,1.28,1.96,1.33,1.75,1.74,2.38,1.53,2.24
b_1,1.14,0.88,1.06,1.09,2.56,1.48,1.7,1.68,2.08,1.95,1.47,1.91,1.51,2.98,1.76,2.6
a_1,1.16,1.06,1.2,1.11,0.89,3.06,2.14,1.86,2.41,2.0,2.09,2.02,1.47,3.11,1.99,2.76
h_1,1.45,1.12,1.41,1.05,0.95,0.75,3.6,2.39,2.27,2.1,2.3,2.08,2.04,2.13,1.77,3.45
g_1,1.16,0.94,1.64,1.08,1.01,0.84,1.79,3.93,2.06,1.68,2.06,3.08,2.06,2.82,2.28,2.22
c_0,1.23,1.09,1.42,0.97,0.8,0.9,2.32,2.09,3.51,2.29,3.93,2.48,2.77,2.91,2.13,2.96
d_0,1.12,1.11,0.9,1.86,1.25,0.8,2.1,1.8,1.46,3.31,1.8,1.97,1.97,2.58,1.67,2.46
b_0,1.33,1.24,1.34,1.12,0.72,0.64,2.11,2.19,2.3,2.18,3.67,2.4,4.19,3.4,1.95,2.48
f_0,1.07,0.96,1.31,1.23,1.08,0.9,2.13,2.15,2.51,2.08,2.34,3.55,2.16,3.12,3.7,2.55
a_0,1.35,1.03,1.3,1.11,1.13,0.62,2.57,2.05,2.24,2.13,2.4,2.37,3.73,3.28,2.11,2.69
h_0,1.55,1.1,1.32,1.05,0.9,1.0,1.5,2.6,2.12,1.96,2.19,1.98,1.84,2.13,1.8,3.23
e_0,1.36,0.67,1.42,1.23,1.01,1.07,2.3,2.03,2.21,2.15,2.31,2.04,2.1,2.78,3.97,3.08
g_0,1.03,0.97,1.77,1.13,1.03,0.91,2.1,1.79,2.38,1.65,2.3,3.09,2.22,2.61,2.17,2.33
