,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.12,3.86,4.45,3.59,3.98,3.27,0.79,1.37,0.89,0.77,0.84,1.46,0.47,0.85,0.65,0.88
e_1,2.34,1.12,4.91,4.69,5.95,4.56,1.36,1.45,1.15,0.95,0.96,1.3,0.75,0.91,0.81,2.38
c_1,4.8,3.79,1.12,6.05,4.06,4.42,1.66,1.39,0.52,1.64,1.11,0.98,0.6,0.82,0.74,0.9
d_1,5.15,5.49,5.35,1.12,5.01,5.26,1.16,0.79,1.9,0.85,0.76,0.84,0.61,0.96,0.39,0.84
b_1,8.17,5.69,2.83,6.66,1.13,5.69,1.97,1.95,1.36,1.91,3.22,1.29,0.98,1.51,0.99,0.98
a_1,8.73,9.23,9.63,8.22,4.43,1.14,2.65,2.94,2.37,1.81,1.99,2.67,1.65,4.46,1.56,1.93
h_1,14.91,15.34,15.92,14.23,14.51,14.43,1.78,4.8,3.27,3.7,3.48,3.21,3.71,2.95,2.3,3.44
g_1,19.45,21.36,18.63,17.1,19.05,18.61,4.34,1.78,3.82,3.52,3.39,3.54,1.94,3.55,3.34,3.99
d_0,18.97,10.25,18.43,35.51,19.32,17.89,6.26,5.76,2.24,3.48,4.13,3.94,3.05,4.66,3.24,4.04
c_0,23.22,20.99,49.14,11.3,22.86,18.25,6.31,6.66,6.3,2.34,4.17,4.06,3.52,6.37,2.89,4.82
b_0,22.67,22.86,39.43,19.12,50.8,25.49,6.52,5.97,4.93,2.14,2.23,3.88,3.15,3.86,2.5,3.63
f_0,45.08,24.75,23.88,18.89,24.27,27.78,7.77,4.31,5.07,4.46,4.82,2.17,3.74,4.09,2.04,4.42
h_0,29.94,24.92,26.08,26.06,22.86,22.7,10.92,7.22,5.04,4.42,4.69,4.41,5.77,5.14,3.65,4.25
a_0,29.71,26.98,35.69,28.59,57.15,68.93,8.6,7.54,5.67,4.53,3.07,5.47,4.13,2.37,4.18,6.09
g_0,39.1,39.88,37.26,28.85,34.29,35.79,7.77,14.29,8.4,5.78,6.65,6.75,4.17,7.04,8.26,6.59
e_0,64.95,47.22,38.53,34.01,38.63,48.97,13.25,8.17,7.64,6.42,7.29,3.31,4.84,5.65,4.45,2.41
