,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.88,1.35,1.19,1.35,3.04,15.36,27.03,29.75,32.18,35.71,39.78,58.96,97.93,100.54,85.75
d_1,1.12,1.0,1.11,1.04,1.42,2.79,16.51,21.85,27.0,43.41,35.87,46.38,68.77,73.75,94.57,94.39
e_1,0.75,0.89,1.0,1.3,1.4,3.51,17.51,26.7,38.1,34.43,41.21,48.32,73.31,87.72,103.28,124.34
c_1,0.83,0.99,0.76,1.0,1.67,2.36,13.53,20.64,17.12,24.36,31.37,29.87,62.73,77.35,79.7,83.48
b_1,0.74,0.7,0.7,0.61,1.0,3.69,13.0,18.95,18.9,25.03,25.69,30.91,46.08,68.1,56.57,74.24
a_1,0.33,0.35,0.28,0.41,0.28,1.0,5.16,8.35,9.33,9.89,11.82,14.79,22.21,27.62,28.42,32.78
h_1,0.07,0.06,0.06,0.07,0.08,0.19,1.0,1.77,1.62,1.86,2.04,2.57,4.18,5.91,5.07,6.18
g_1,0.04,0.05,0.04,0.05,0.05,0.12,0.55,1.0,1.0,1.32,1.62,1.89,2.33,3.04,3.38,4.09
d_0,0.03,0.04,0.03,0.06,0.05,0.11,0.6,1.03,1.0,0.96,1.25,1.44,2.4,3.26,3.59,3.74
c_0,0.03,0.02,0.03,0.04,0.04,0.1,0.54,0.79,1.05,1.0,1.13,1.75,2.1,2.66,3.28,3.38
f_0,0.03,0.03,0.02,0.03,0.04,0.09,0.47,0.63,0.83,0.89,1.0,1.18,1.89,1.89,2.59,3.87
b_0,0.03,0.02,0.02,0.03,0.03,0.07,0.39,0.56,0.65,0.56,0.84,1.0,1.76,2.01,3.24,2.36
h_0,0.02,0.01,0.01,0.02,0.02,0.04,0.25,0.42,0.41,0.46,0.52,0.59,1.0,1.53,1.34,1.35
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.17,0.32,0.29,0.39,0.51,0.49,0.64,1.0,1.11,1.15
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.19,0.29,0.28,0.3,0.4,0.31,0.77,0.94,1.0,0.97
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.25,0.27,0.29,0.27,0.44,0.74,0.89,1.07,1.0
