,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.4,0.7,0.61,0.57,0.58,0.55,0.3,0.31,0.24,0.29,0.27,0.27,0.21,0.25,0.23,0.17
e_1,0.6,0.4,0.44,0.62,0.61,0.6,0.32,0.32,0.35,0.27,0.32,0.27,0.24,0.27,0.35,0.25
f_1,0.55,0.61,0.39,0.62,0.62,0.55,0.25,0.28,0.35,0.24,0.29,0.24,0.18,0.25,0.22,0.23
c_1,0.68,0.5,0.6,0.39,0.63,0.61,0.31,0.18,0.31,0.27,0.25,0.23,0.23,0.25,0.25,0.25
b_1,0.64,0.57,0.67,0.42,0.35,0.63,0.35,0.24,0.33,0.36,0.26,0.4,0.24,0.27,0.26,0.24
a_1,0.62,0.54,0.64,0.62,0.39,0.31,0.37,0.29,0.36,0.31,0.28,0.34,0.26,0.36,0.31,0.23
h_1,0.57,0.54,0.63,0.58,0.47,0.48,0.23,0.26,0.35,0.24,0.25,0.26,0.25,0.25,0.23,0.24
d_0,0.63,0.41,0.55,0.67,0.64,0.52,0.31,0.23,0.32,0.25,0.25,0.26,0.23,0.24,0.27,0.25
g_1,0.61,0.53,0.56,0.6,0.6,0.46,0.26,0.28,0.21,0.27,0.26,0.26,0.19,0.27,0.27,0.25
c_0,0.41,0.64,0.61,0.74,0.53,0.48,0.33,0.35,0.29,0.22,0.27,0.33,0.24,0.28,0.27,0.24
f_0,0.53,0.54,0.7,0.59,0.58,0.53,0.29,0.26,0.23,0.25,0.21,0.25,0.22,0.22,0.29,0.17
b_0,0.49,0.54,0.59,0.73,0.57,0.49,0.31,0.3,0.29,0.17,0.26,0.21,0.22,0.32,0.29,0.22
h_0,0.56,0.53,0.63,0.54,0.56,0.48,0.34,0.27,0.3,0.24,0.25,0.24,0.24,0.24,0.23,0.22
a_0,0.53,0.6,0.6,0.61,0.6,0.56,0.29,0.29,0.25,0.23,0.24,0.16,0.21,0.18,0.24,0.21
e_0,0.52,0.62,0.8,0.61,0.52,0.44,0.31,0.25,0.25,0.25,0.16,0.25,0.21,0.23,0.18,0.21
g_0,0.59,0.57,0.64,0.53,0.5,0.53,0.27,0.26,0.31,0.25,0.28,0.26,0.18,0.24,0.25,0.22
