,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.32,0.98,0.55,0.56,0.44,0.47,0.91,0.87,1.0,1.07,1.09,0.49,0.92,1.26,0.58,1.15
e_1,0.6,2.35,0.43,0.66,0.57,0.41,1.09,0.79,1.11,2.23,1.25,1.04,1.06,1.38,0.49,1.26
d_1,0.68,0.54,2.38,0.47,0.5,0.49,1.14,0.98,2.11,0.49,1.41,1.4,1.11,1.51,0.94,1.37
c_1,0.48,0.59,0.55,2.42,1.07,0.39,0.82,0.67,0.38,1.03,0.71,0.91,0.92,1.34,0.76,1.21
b_1,0.61,0.46,0.67,0.59,2.51,0.72,0.86,0.8,1.08,1.11,0.53,1.04,0.8,1.58,1.06,1.34
a_1,0.67,0.53,0.62,0.59,0.46,3.02,1.09,0.97,1.33,1.23,1.09,1.07,0.45,1.54,0.98,1.52
h_1,0.98,0.64,0.9,0.62,0.6,0.44,3.17,1.53,1.56,1.33,1.42,1.15,1.02,1.1,1.08,2.2
g_1,0.74,0.55,1.13,0.69,0.52,0.49,1.06,3.49,1.07,1.12,1.34,2.24,1.1,1.66,1.5,1.03
c_0,0.84,0.64,0.85,0.45,0.44,0.57,1.57,1.38,2.9,1.34,2.86,1.47,1.66,1.91,1.29,1.61
d_0,0.7,0.72,0.35,1.28,0.69,0.52,1.54,1.12,0.92,2.72,1.33,1.22,1.13,1.65,1.01,1.59
b_0,0.89,0.74,0.88,0.72,0.32,0.4,1.24,1.26,1.46,1.41,2.98,1.49,2.84,2.07,1.11,1.57
f_0,0.53,0.66,0.81,0.77,0.67,0.58,1.29,1.45,1.63,1.35,1.5,2.95,1.38,1.98,2.41,1.53
a_0,0.78,0.57,0.9,0.71,0.71,0.28,1.57,1.28,1.43,1.34,1.45,1.32,3.06,2.1,1.36,1.58
h_0,1.07,0.66,0.88,0.62,0.5,0.6,0.84,1.75,1.33,1.29,1.54,1.22,1.11,1.04,1.18,1.87
e_0,0.83,0.3,0.9,0.83,0.53,0.59,1.67,1.39,1.33,1.44,1.43,1.48,1.32,1.82,3.48,1.92
g_0,0.58,0.55,1.31,0.65,0.6,0.56,1.33,0.87,1.44,1.03,1.49,2.05,1.3,1.47,1.27,1.08
