,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,0.96,0.95,0.96,0.85,0.87,1.0,1.05,0.9,0.94,0.97,0.86,0.92,0.78,1.03
e_1,0.81,1.0,1.24,0.93,1.03,0.91,1.05,1.24,1.38,1.02,1.04,1.17,1.02,0.97,1.06,1.15
c_1,1.0,0.82,1.0,1.17,1.28,1.0,1.0,0.98,0.73,0.77,0.82,0.91,1.04,0.95,1.01,0.97
d_1,1.03,1.07,0.86,1.0,1.05,0.88,0.99,0.79,0.93,1.29,1.14,1.02,1.03,1.12,1.1,0.84
b_1,1.04,0.97,0.8,0.94,1.0,1.49,1.04,1.06,1.03,1.2,0.97,1.05,1.01,0.97,1.06,1.04
a_1,1.23,1.08,0.99,1.12,0.68,1.0,1.19,1.05,0.97,0.95,1.16,0.92,1.05,0.94,0.91,0.89
h_1,1.13,0.93,0.99,1.04,0.92,0.82,1.0,1.17,0.95,0.96,1.0,0.88,1.11,0.95,0.97,1.29
g_1,1.01,0.83,1.0,1.27,0.92,0.98,0.87,1.0,0.94,0.97,0.99,1.21,0.88,1.15,1.1,0.94
d_0,0.97,0.72,1.47,1.0,1.05,0.94,1.01,1.06,1.0,0.81,1.01,0.95,1.12,1.0,1.04,1.2
c_0,1.08,1.0,1.22,0.79,0.86,1.02,1.09,1.0,1.2,1.0,1.37,1.0,1.07,1.14,1.17,0.94
b_0,1.08,0.95,1.24,0.87,0.93,0.91,1.04,1.01,0.97,0.73,1.0,0.98,1.12,1.3,1.01,1.1
f_0,1.04,0.86,1.14,0.94,0.98,1.03,1.13,0.84,1.02,0.95,0.95,1.0,1.02,0.89,1.4,0.89
h_0,1.15,1.04,0.98,0.98,0.99,0.94,0.88,1.17,0.88,0.93,0.87,0.99,1.0,0.92,0.84,1.11
a_0,1.06,1.05,1.01,0.88,1.01,1.05,1.06,0.87,0.9,0.93,0.76,1.13,1.04,1.0,0.92,1.0
e_0,1.24,0.92,0.99,0.92,1.02,1.05,1.04,0.96,1.0,0.89,1.0,0.76,1.23,1.13,1.0,1.0
g_0,0.95,0.87,0.98,1.17,1.0,1.07,0.83,1.09,0.82,1.02,0.95,1.14,0.89,0.97,0.97,1.0
