,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.43,0.73,1.32,1.24,1.19,1.08,0.35,0.38,0.24,0.24,0.25,0.31,0.24,0.18,0.32,0.23
f_1,1.1,0.43,1.08,1.15,1.1,1.1,0.25,0.44,0.26,0.27,0.25,0.35,0.21,0.12,0.22,0.16
d_1,1.33,1.29,0.41,1.28,1.16,1.18,0.31,0.21,0.37,0.24,0.27,0.24,0.24,0.16,0.22,0.1
c_1,0.98,1.3,1.58,0.4,1.3,1.24,0.35,0.33,0.16,0.34,0.25,0.25,0.25,0.17,0.23,0.18
b_1,1.36,1.52,1.37,0.75,0.38,1.36,0.43,0.4,0.29,0.36,0.48,0.34,0.25,0.21,0.27,0.23
a_1,1.68,1.86,1.69,1.71,0.84,0.32,0.63,0.55,0.38,0.39,0.44,0.28,0.5,0.26,0.35,0.27
h_1,2.21,2.31,2.08,2.0,2.05,1.8,0.3,0.62,0.46,0.45,0.48,0.47,0.38,0.43,0.37,0.33
g_1,2.39,2.84,2.15,2.25,2.2,1.95,0.48,0.28,0.51,0.51,0.52,0.45,0.47,0.31,0.41,0.36
d_0,1.4,2.56,3.3,2.62,2.79,2.6,0.7,0.73,0.34,0.51,0.52,0.46,0.47,0.36,0.52,0.44
c_0,2.7,2.56,1.32,4.7,3.19,2.32,0.72,0.73,0.73,0.32,0.52,0.44,0.49,0.37,0.47,0.28
b_0,2.42,2.44,1.89,3.34,4.01,2.27,0.78,0.7,0.59,0.28,0.3,0.48,0.47,0.37,0.5,0.37
f_0,2.97,4.36,2.45,2.86,2.53,2.66,0.77,0.53,0.66,0.54,0.54,0.28,0.48,0.47,0.48,0.25
a_0,2.47,3.34,2.73,2.98,3.81,3.4,0.74,0.8,0.61,0.47,0.35,0.47,0.32,0.45,0.58,0.46
h_0,2.83,3.26,2.79,3.17,2.66,2.42,1.21,0.74,0.6,0.55,0.62,0.52,0.53,0.57,0.53,0.43
e_0,4.86,4.28,2.76,3.26,3.11,2.69,0.84,0.81,0.73,0.61,0.64,0.29,0.51,0.37,0.29,0.38
g_0,4.15,3.89,2.98,4.17,3.2,2.81,0.72,1.23,0.82,0.66,0.79,0.58,0.56,0.37,0.6,0.56
