,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.42,0.44,0.59,0.68,0.62,0.55,0.34,0.35,0.33,0.27,0.28,0.34,0.23,0.28,0.24,0.34
f_1,0.63,0.41,0.55,0.62,0.55,0.55,0.26,0.33,0.29,0.24,0.27,0.29,0.18,0.27,0.22,0.24
d_1,0.64,0.63,0.38,0.59,0.54,0.55,0.32,0.25,0.33,0.31,0.27,0.27,0.22,0.23,0.18,0.24
c_1,0.5,0.61,0.65,0.38,0.7,0.59,0.32,0.32,0.18,0.28,0.24,0.25,0.23,0.25,0.22,0.25
b_1,0.57,0.66,0.66,0.39,0.35,0.68,0.32,0.34,0.25,0.33,0.35,0.27,0.23,0.29,0.27,0.25
a_1,0.65,0.63,0.64,0.61,0.38,0.29,0.39,0.32,0.33,0.29,0.37,0.29,0.24,0.35,0.24,0.27
h_1,0.57,0.66,0.54,0.57,0.54,0.53,0.23,0.3,0.27,0.23,0.24,0.25,0.23,0.24,0.23,0.23
g_1,0.58,0.57,0.64,0.58,0.53,0.6,0.26,0.21,0.25,0.24,0.23,0.27,0.17,0.23,0.22,0.23
d_0,0.42,0.54,0.65,0.66,0.66,0.51,0.31,0.35,0.23,0.24,0.27,0.28,0.26,0.25,0.27,0.26
c_0,0.58,0.63,0.41,0.67,0.56,0.52,0.34,0.34,0.31,0.22,0.32,0.27,0.23,0.26,0.22,0.27
b_0,0.55,0.58,0.48,0.82,0.62,0.49,0.29,0.3,0.28,0.17,0.2,0.26,0.21,0.28,0.2,0.25
f_0,0.53,0.7,0.58,0.57,0.56,0.51,0.31,0.23,0.26,0.27,0.24,0.2,0.22,0.26,0.17,0.3
h_0,0.57,0.61,0.54,0.59,0.55,0.46,0.33,0.32,0.24,0.24,0.26,0.24,0.25,0.23,0.24,0.22
a_0,0.52,0.57,0.54,0.62,0.64,0.62,0.31,0.31,0.28,0.22,0.18,0.27,0.24,0.18,0.22,0.22
g_0,0.57,0.65,0.59,0.61,0.54,0.47,0.25,0.32,0.25,0.24,0.24,0.26,0.17,0.25,0.22,0.22
e_0,0.62,0.78,0.53,0.56,0.57,0.54,0.31,0.26,0.24,0.22,0.25,0.17,0.23,0.24,0.19,0.17
