,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.92,0.13,0.07,0.07,0.09,0.06,0.34,0.38,0.35,0.27,0.44,,0.35,0.46,0.36,0.47
e_1,0.07,5.95,0.07,0.06,0.07,0.06,0.28,0.32,0.71,0.31,0.34,0.39,0.35,0.63,,0.66
d_1,0.09,0.05,6.59,0.05,0.07,0.06,0.24,0.75,,0.31,0.43,0.41,0.33,0.62,0.36,0.57
c_1,0.08,0.08,0.07,6.72,0.14,0.07,0.21,,0.45,0.32,0.27,0.46,0.38,0.58,0.38,0.49
b_1,0.09,0.08,0.08,0.05,7.19,0.14,0.24,0.33,0.47,0.36,,0.36,0.27,0.58,0.28,0.54
a_1,0.09,0.06,0.06,0.08,0.07,9.8,0.36,0.39,0.34,0.23,0.35,0.34,,0.59,0.41,0.64
h_1,0.35,0.34,0.19,0.29,0.22,0.21,14.18,1.58,1.46,0.98,1.39,1.67,1.77,,1.55,2.88
c_0,0.41,0.39,0.47,,0.38,0.35,1.18,10.96,1.29,1.63,3.53,1.37,1.78,3.74,1.91,2.69
d_0,0.39,0.48,,0.77,0.34,0.31,1.37,1.81,11.61,1.18,1.84,2.32,1.66,1.96,2.14,2.04
g_1,0.23,0.25,0.43,0.32,0.25,0.31,0.73,1.29,1.28,17.24,1.32,2.16,1.6,2.57,0.99,
b_0,0.37,0.33,0.44,0.39,,0.36,1.65,2.0,1.68,1.69,12.31,1.64,3.58,2.47,1.34,2.97
f_0,,0.23,0.37,0.46,0.44,0.48,1.42,1.61,1.71,1.54,1.71,14.23,2.08,2.56,4.13,3.07
a_0,0.4,0.33,0.33,0.25,0.4,,2.17,2.01,2.06,1.6,1.36,1.09,18.13,3.73,2.31,2.65
h_0,0.68,0.62,0.68,0.58,0.39,0.62,,3.4,3.49,1.72,3.2,2.45,2.49,,2.95,3.92
e_0,0.34,,0.34,0.36,0.5,0.32,2.14,1.65,1.07,,1.53,2.01,1.59,4.98,20.51,4.29
g_0,0.37,0.49,0.93,0.76,0.47,0.54,2.96,2.79,2.55,,2.86,4.09,,3.21,,
