,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.86,1.38,1.21,1.53,3.27,18.53,33.42,27.07,30.7,40.94,47.99,76.45,84.96,136.98,136.3
f_1,1.19,1.0,1.15,0.96,1.35,3.01,14.82,24.19,24.39,25.44,33.68,35.3,65.93,64.1,83.14,126.48
c_1,0.72,0.87,1.0,1.21,1.73,2.86,17.29,14.75,20.59,24.94,28.13,33.95,55.15,62.23,86.7,99.92
d_1,0.83,1.04,0.83,1.0,1.14,2.39,13.66,19.64,27.3,19.81,27.77,31.86,62.16,59.48,82.69,78.33
b_1,0.65,0.74,0.57,0.86,1.0,3.26,13.38,15.77,19.43,19.12,24.64,27.44,46.74,55.97,65.6,89.53
a_1,0.3,0.33,0.35,0.42,0.32,1.0,5.51,6.81,8.25,9.35,10.76,13.53,23.89,25.43,36.03,37.07
h_1,0.05,0.07,0.06,0.07,0.07,0.17,1.0,1.2,1.46,1.92,1.97,2.04,3.87,4.3,6.36,7.86
d_0,0.03,0.04,0.07,0.05,0.06,0.14,0.81,1.0,0.97,1.29,1.61,1.62,3.03,3.6,4.93,5.03
c_0,0.04,0.04,0.05,0.04,0.05,0.12,0.68,1.04,1.0,1.1,1.99,1.56,3.2,3.11,5.0,4.69
g_1,0.03,0.04,0.04,0.05,0.05,0.1,0.54,0.78,0.9,1.0,1.22,1.74,2.28,2.44,4.33,3.96
b_0,0.02,0.03,0.04,0.03,0.04,0.09,0.5,0.62,0.54,0.84,1.0,1.01,2.74,2.06,3.34,3.18
f_0,0.02,0.03,0.03,0.03,0.04,0.08,0.47,0.61,0.66,0.55,0.98,1.0,1.87,1.86,4.06,2.42
a_0,0.01,0.02,0.02,0.02,0.02,0.04,0.25,0.35,0.32,0.44,0.38,0.56,1.0,1.12,1.57,1.76
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.23,0.29,0.32,0.42,0.5,0.54,0.84,1.0,1.36,1.78
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.21,0.21,0.24,0.33,0.26,0.62,0.78,1.0,1.09
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.19,0.22,0.24,0.3,0.41,0.59,0.56,0.96,1.0
