,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,102.47,69.09,76.75,148.26,198.17,411.87,13527.81,16204.44,36418.57,27040.38,52411.49,41671.18,141338.27,145997.26,201025.59,320614.86
d_1,67.99,114.89,88.02,98.06,162.1,420.36,13054.97,14115.51,18766.91,38418.36,42521.11,49255.93,127862.11,134302.54,198451.72,263361.08
f_1,92.91,69.72,123.11,119.06,147.01,336.02,11879.92,13347.2,23007.56,24372.13,31082.33,40147.03,97110.71,97306.34,169767.76,274846.68
c_1,52.19,68.46,69.08,161.29,232.31,389.49,10428.7,12940.35,16881.94,17877.32,34811.22,27787.24,113952.15,111384.53,128718.29,211906.14
b_1,43.78,61.06,70.55,78.67,219.02,568.69,10341.62,11155.84,16181.42,22701.59,31600.2,29585.13,101151.33,108538.58,106654.41,229579.06
a_1,37.83,45.96,57.83,68.81,76.76,461.97,8096.9,8534.33,12990.75,16340.11,22054.39,28507.74,77398.16,77727.55,96445.13,169813.04
h_1,15.45,18.76,23.02,28.27,38.21,92.18,4033.03,3831.14,4990.14,5760.29,9906.4,9304.85,27105.42,33182.99,41562.74,82752.36
g_1,13.67,22.27,17.35,25.53,36.65,92.9,2906.7,4371.68,4538.24,6169.63,12275.31,9470.73,26850.46,33775.9,37501.67,58764.95
d_0,11.56,14.51,15.31,35.49,38.1,89.25,2692.96,2930.22,5452.37,4196.9,8357.97,6667.74,25105.44,28002.29,31713.88,60644.03
c_0,13.35,13.48,17.5,22.37,26.5,73.25,2630.96,2854.43,4499.26,6335.81,8385.66,12230.04,27137.89,27182.4,45528.06,54518.73
f_0,8.97,13.96,13.32,20.9,27.45,74.1,2165.2,2478.59,4068.86,4161.17,8812.04,7144.79,22688.27,36922.8,28607.47,48873.12
b_0,10.46,12.36,14.83,21.6,24.3,53.26,2204.2,2386.99,4106.08,4198.49,7204.42,8912.91,22252.09,22100.64,46680.75,50345.7
h_0,7.51,9.8,12.72,14.77,20.18,51.53,1388.31,2122.86,2701.77,3036.75,4879.23,5465.24,13065.17,17531.52,20905.7,38483.76
e_0,5.89,9.54,10.8,14.2,19.71,50.59,1455.99,1734.66,2508.72,2941.28,4052.12,5048.92,15540.34,20744.47,20634.82,32534.52
a_0,6.29,8.2,8.61,14.22,20.2,32.45,1408.1,1554.55,2407.74,2392.28,4476.77,4130.13,13849.98,14500.74,26041.0,32921.9
g_0,5.62,9.21,7.61,11.82,14.99,36.68,1179.49,1321.81,1916.93,2411.74,4853.71,3679.56,12505.81,15091.72,14997.71,23974.13
