,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.96,1.3,0.65,0.74,0.67,0.61,0.92,0.87,0.86,1.0,0.99,0.56,0.96,0.93,0.77,0.89
e_1,0.82,2.06,0.72,0.91,0.66,0.68,0.97,1.04,0.95,1.72,1.04,0.99,0.99,1.04,0.67,0.88
d_1,0.83,0.71,2.18,0.68,0.68,0.73,0.92,0.94,1.68,0.54,1.17,0.97,0.99,1.02,1.04,0.99
c_1,0.75,0.64,0.74,2.3,1.34,0.76,0.92,0.89,0.51,0.83,0.8,1.12,0.93,0.91,0.92,0.97
b_1,0.8,0.7,0.82,0.7,2.5,1.4,0.94,0.91,0.89,0.79,0.58,1.01,0.92,0.68,0.94,0.9
a_1,0.74,0.68,0.87,0.86,0.79,3.61,0.97,0.84,0.92,0.85,0.84,0.9,0.95,0.65,1.03,1.13
h_1,1.04,0.81,0.91,0.81,0.76,0.75,1.9,1.26,0.86,0.95,1.03,1.14,0.95,1.18,1.05,1.4
g_1,0.65,0.71,1.28,0.82,0.69,0.74,1.06,2.46,1.16,0.93,1.02,1.64,1.23,1.1,1.3,0.91
c_0,0.96,0.87,0.89,0.6,0.65,0.81,1.13,1.01,1.7,1.06,2.1,1.09,1.09,1.38,1.23,1.25
d_0,0.82,0.72,0.68,1.48,0.81,0.73,1.0,1.0,0.68,1.67,0.94,1.12,1.16,1.04,1.06,0.92
b_0,0.93,0.82,0.84,1.0,0.62,0.51,1.26,1.08,0.98,1.15,1.99,1.06,1.26,2.24,1.37,1.27
f_0,0.78,0.71,0.97,0.88,0.8,0.79,1.08,1.12,0.96,1.09,1.2,2.04,1.23,1.08,2.42,1.17
h_0,1.03,0.76,0.96,0.82,0.87,0.72,0.81,1.31,1.05,0.95,0.95,1.09,0.66,1.06,1.14,1.41
a_0,0.85,0.8,0.96,0.95,0.84,0.44,1.13,1.14,1.07,1.06,1.08,1.02,1.37,2.16,1.17,1.27
e_0,1.04,0.6,0.96,0.85,0.85,0.58,1.21,1.05,1.13,0.99,1.09,1.07,1.4,1.18,2.62,1.12
g_0,0.78,0.69,1.21,0.82,0.89,0.75,0.95,0.72,1.02,0.86,0.99,1.66,1.12,1.25,1.34,0.97
