,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.09,1.55,2.25,2.38,2.35,2.05,0.62,0.52,0.71,0.43,0.47,0.56,0.54,0.32,0.36,0.61
f_1,2.05,1.08,2.07,2.31,2.4,2.03,0.49,0.47,0.77,0.44,0.43,0.55,0.44,0.25,0.34,0.36
d_1,2.95,2.77,1.09,2.39,2.24,2.25,0.62,0.73,0.46,0.51,0.51,0.47,0.46,0.35,0.24,0.43
c_1,2.19,2.72,3.44,1.1,2.78,2.45,0.87,0.33,0.76,0.63,0.52,0.54,0.46,0.37,0.37,0.51
b_1,3.46,4.15,3.77,2.05,1.11,3.77,1.03,0.7,1.04,0.95,1.01,0.81,0.73,0.64,0.57,0.62
a_1,4.61,4.73,4.64,4.35,2.41,1.12,1.43,1.06,1.39,1.05,1.52,1.09,1.54,0.59,0.71,0.92
h_1,8.33,8.82,8.11,8.53,7.94,7.0,1.51,1.97,2.39,1.74,1.69,2.0,1.73,1.4,1.27,1.74
d_0,7.55,10.56,15.3,12.19,13.04,11.71,3.88,1.83,3.6,2.18,2.3,2.49,2.39,1.51,1.81,2.44
g_1,12.04,12.46,12.8,11.92,10.7,9.83,3.07,2.72,1.59,2.75,2.49,2.81,2.34,1.25,2.27,2.17
c_0,14.66,13.24,8.27,17.29,12.84,11.22,3.93,4.0,3.48,1.86,2.88,2.91,2.76,2.06,2.08,2.28
b_0,13.67,15.14,11.77,16.91,17.8,11.71,4.2,3.36,3.46,1.71,1.95,2.88,3.01,2.08,1.86,2.71
f_0,14.12,19.9,12.9,14.3,12.57,11.43,4.0,3.26,2.46,2.73,2.53,1.83,2.61,2.01,1.39,2.78
a_0,16.77,18.63,15.52,21.85,21.97,22.58,5.41,4.07,4.26,2.96,2.09,3.41,1.97,2.39,2.26,3.35
h_0,18.2,19.49,16.84,20.17,17.93,16.35,6.7,4.38,5.91,3.66,3.85,3.79,3.83,3.69,2.76,3.38
g_0,20.65,22.62,19.46,23.3,19.83,15.42,4.89,4.62,6.44,3.66,3.88,3.89,4.43,2.22,3.55,3.73
e_0,26.49,28.79,22.6,19.54,19.67,19.36,5.55,4.62,4.47,4.08,3.75,2.4,3.57,2.82,2.57,2.21
