,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.16,0.38,0.41,0.35,0.33,0.32,0.08,0.07,0.07,0.07,0.12,0.07,0.04,0.06,0.06,0.03
f_1,0.35,0.16,0.33,0.37,0.34,0.31,0.08,0.11,0.08,0.07,0.08,0.09,0.04,0.07,0.07,0.06
e_1,0.36,0.22,0.16,0.39,0.34,0.32,0.11,0.13,0.08,0.08,0.08,0.1,0.06,0.08,0.12,0.06
c_1,0.45,0.38,0.27,0.14,0.34,0.33,0.11,0.11,0.09,0.07,0.04,0.07,0.05,0.08,0.07,0.05
b_1,0.37,0.39,0.35,0.21,0.13,0.4,0.11,0.11,0.1,0.1,0.07,0.07,0.06,0.07,0.07,0.05
a_1,0.38,0.38,0.38,0.34,0.19,0.1,0.11,0.11,0.08,0.1,0.09,0.07,0.06,0.11,0.08,0.06
h_1,0.33,0.32,0.31,0.32,0.34,0.27,0.05,0.1,0.07,0.06,0.07,0.07,0.05,0.06,0.06,0.04
g_1,0.3,0.38,0.31,0.32,0.33,0.3,0.07,0.05,0.06,0.06,0.07,0.06,0.04,0.06,0.06,0.05
c_0,0.2,0.4,0.34,0.45,0.33,0.32,0.09,0.08,0.05,0.07,0.08,0.07,0.05,0.07,0.07,0.05
b_0,0.25,0.35,0.37,0.41,0.4,0.27,0.08,0.08,0.04,0.05,0.07,0.06,0.05,0.06,0.06,0.04
d_0,0.4,0.3,0.21,0.35,0.42,0.3,0.12,0.12,0.07,0.06,0.05,0.07,0.05,0.07,0.08,0.05
f_0,0.31,0.44,0.34,0.31,0.31,0.3,0.09,0.06,0.06,0.06,0.06,0.04,0.04,0.06,0.07,0.03
h_0,0.28,0.35,0.32,0.35,0.32,0.26,0.12,0.08,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.05
a_0,0.3,0.34,0.33,0.34,0.34,0.3,0.08,0.1,0.06,0.04,0.07,0.07,0.05,0.04,0.06,0.05
e_0,0.29,0.45,0.42,0.34,0.3,0.31,0.09,0.07,0.06,0.06,0.06,0.03,0.04,0.06,0.03,0.04
g_0,0.3,0.36,0.34,0.31,0.29,0.31,0.07,0.11,0.06,0.07,0.07,0.06,0.04,0.05,0.05,0.06
