,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.16,0.26,0.44,0.6,0.5,0.43,0.14,0.15,0.11,0.09,0.13,0.09,0.07,0.14,0.08,0.1
f_1,0.44,0.16,0.41,0.46,0.44,0.4,0.1,0.16,0.1,0.09,0.14,0.09,0.05,0.09,0.07,0.08
d_1,0.56,0.48,0.15,0.47,0.41,0.43,0.11,0.09,0.18,0.08,0.08,0.09,0.06,0.09,0.04,0.08
c_1,0.35,0.52,0.61,0.15,0.43,0.46,0.13,0.11,0.05,0.11,0.09,0.09,0.07,0.09,0.07,0.09
b_1,0.43,0.45,0.51,0.27,0.14,0.43,0.14,0.14,0.09,0.14,0.1,0.15,0.08,0.11,0.08,0.11
a_1,0.51,0.59,0.49,0.4,0.24,0.1,0.14,0.14,0.1,0.11,0.09,0.11,0.07,0.08,0.07,0.14
h_1,0.4,0.41,0.34,0.43,0.43,0.33,0.06,0.12,0.09,0.08,0.08,0.08,0.07,0.07,0.05,0.07
g_1,0.39,0.44,0.4,0.41,0.4,0.37,0.09,0.05,0.08,0.07,0.1,0.08,0.04,0.07,0.07,0.07
d_0,0.24,0.44,0.62,0.4,0.41,0.38,0.13,0.13,0.05,0.08,0.09,0.09,0.06,0.1,0.07,0.08
c_0,0.41,0.4,0.24,0.7,0.48,0.34,0.11,0.11,0.12,0.05,0.09,0.09,0.07,0.09,0.05,0.08
f_0,0.38,0.54,0.37,0.41,0.5,0.35,0.11,0.07,0.08,0.07,0.05,0.08,0.06,0.08,0.03,0.07
b_0,0.37,0.38,0.3,0.55,0.72,0.35,0.1,0.1,0.1,0.04,0.09,0.05,0.06,0.08,0.06,0.07
h_0,0.38,0.4,0.41,0.43,0.36,0.35,0.14,0.1,0.08,0.08,0.09,0.07,0.08,0.08,0.06,0.06
e_0,0.5,0.64,0.33,0.37,0.38,0.34,0.13,0.09,0.09,0.08,0.04,0.07,0.06,0.03,0.05,0.06
g_0,0.4,0.48,0.32,0.46,0.44,0.32,0.08,0.11,0.09,0.08,0.07,0.08,0.05,0.08,0.06,0.08
a_0,0.37,0.41,0.34,0.41,0.55,0.57,0.11,0.11,0.09,0.07,0.08,0.04,0.06,0.09,0.06,0.04
