,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.14,5.94,11.95,12.97,12.59,13.52,2.97,2.27,2.25,3.63,1.96,2.24,1.96,1.84,6.23,1.74
f_1,10.45,1.14,10.5,10.84,10.47,9.24,2.3,2.51,2.18,3.85,2.18,10.18,1.2,2.38,2.34,2.02
c_1,10.57,12.81,1.14,16.81,12.24,9.41,3.51,1.14,6.88,3.76,2.2,2.04,1.66,2.78,2.52,1.72
d_1,17.04,10.87,12.48,1.13,12.65,11.09,3.12,13.88,2.1,2.14,2.33,3.15,1.46,2.49,2.32,0.87
b_1,14.66,18.49,7.78,14.45,1.14,19.07,4.65,3.54,4.67,5.14,14.05,2.62,1.85,3.75,2.86,2.35
a_1,22.72,20.04,20.93,26.36,8.75,1.15,5.6,4.66,3.79,6.52,6.16,3.9,4.46,12.06,4.18,3.62
h_1,30.67,29.4,29.04,24.96,27.52,28.35,1.92,6.09,6.4,7.26,6.23,4.4,10.97,4.39,5.38,4.27
d_0,17.52,36.23,36.62,68.65,38.13,31.89,10.39,2.83,5.33,8.54,6.86,6.33,4.19,6.66,5.3,5.74
c_0,29.68,41.71,129.58,18.1,48.53,28.75,10.26,8.78,2.68,11.49,7.84,5.83,5.08,6.43,6.34,6.94
g_1,35.05,44.84,40.59,29.16,40.44,36.45,8.98,7.54,7.11,1.9,8.51,6.74,3.94,6.43,5.55,12.81
b_0,28.09,40.76,55.23,26.36,205.31,36.45,12.95,6.67,3.54,11.49,2.57,7.11,4.83,6.54,6.02,6.4
f_0,34.39,163.05,43.19,36.61,53.38,43.43,11.97,7.71,7.62,6.2,8.88,2.72,6.88,7.57,6.34,4.56
h_0,51.11,61.84,52.64,47.75,54.47,55.16,65.83,10.06,10.85,19.75,10.6,11.53,23.88,9.41,12.68,6.66
a_0,62.37,57.85,52.64,43.93,86.1,,16.12,11.76,13.91,13.17,6.64,11.28,9.23,2.82,8.07,10.41
e_0,193.68,62.93,66.06,48.46,51.33,72.89,15.8,12.62,13.33,13.17,13.13,6.49,9.67,13.79,2.86,8.76
g_0,63.45,81.52,66.06,55.85,66.73,72.89,16.81,14.16,12.31,39.5,11.4,11.8,7.52,14.85,12.68,20.81
