,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.44,0.67,1.27,1.29,1.27,0.98,0.37,0.35,0.29,0.25,0.29,0.25,0.24,0.17,0.31,0.18
f_1,1.11,0.42,1.2,1.3,1.06,1.12,0.23,0.35,0.22,0.22,0.34,0.23,0.21,0.12,0.2,0.2
d_1,1.3,1.35,0.42,1.14,1.23,1.11,0.33,0.24,0.2,0.37,0.21,0.24,0.23,0.16,0.27,0.1
c_1,1.06,1.23,1.66,0.39,1.18,1.25,0.36,0.33,0.33,0.15,0.25,0.25,0.26,0.21,0.26,0.19
b_1,1.32,1.54,1.42,0.7,0.38,1.47,0.42,0.38,0.39,0.28,0.33,0.5,0.35,0.22,0.24,0.23
a_1,1.52,1.75,1.5,1.65,0.84,0.32,0.48,0.58,0.35,0.5,0.36,0.45,0.61,0.24,0.4,0.27
h_1,2.13,2.18,1.87,1.98,2.05,1.89,0.31,0.73,0.42,0.48,0.45,0.4,0.39,0.44,0.41,0.31
g_1,2.13,2.74,2.19,2.36,2.13,1.95,0.52,0.29,0.49,0.47,0.49,0.48,0.47,0.26,0.49,0.42
c_0,2.45,2.79,1.41,4.6,2.66,2.19,0.7,0.66,0.32,0.74,0.47,0.52,0.57,0.39,0.53,0.34
d_0,1.56,2.36,3.6,2.8,2.8,2.22,0.73,0.79,0.58,0.34,0.47,0.5,0.58,0.44,0.55,0.4
f_0,2.58,4.72,2.28,2.73,2.62,2.24,0.82,0.5,0.53,0.55,0.3,0.49,0.53,0.39,0.46,0.24
b_0,2.59,2.79,1.9,3.89,4.4,2.68,0.63,0.76,0.29,0.55,0.52,0.3,0.52,0.44,0.45,0.34
a_0,2.92,2.88,2.76,3.06,4.41,3.52,0.91,0.96,0.51,0.59,0.62,0.31,0.28,0.48,0.44,0.37
h_0,2.99,3.3,3.23,3.1,2.76,2.31,1.08,0.77,0.56,0.55,0.63,0.59,0.61,0.53,0.63,0.46
e_0,3.99,4.21,2.76,3.31,3.01,2.49,0.85,0.92,0.56,0.59,0.32,0.59,0.66,0.49,0.29,0.38
g_0,3.34,4.08,2.81,3.51,3.54,3.23,0.73,1.06,0.62,0.77,0.71,0.57,0.7,0.35,0.57,0.55
