,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.96,0.58,0.57,0.72,0.55,0.45,0.43,0.35,0.62,0.34,0.34,0.36,0.38,0.27,0.23,0.31
f_1,0.92,0.96,0.55,0.58,0.53,0.32,0.34,0.35,0.41,0.35,0.33,0.28,0.32,0.25,0.21,0.28
d_1,0.66,0.76,0.96,0.51,0.49,0.41,0.45,0.37,0.34,0.58,0.41,0.33,0.37,0.3,0.25,0.29
c_1,0.59,0.63,0.65,0.96,0.9,0.46,0.38,0.38,0.35,0.29,0.27,0.3,0.36,0.25,0.25,0.28
b_1,0.67,0.67,0.68,0.53,0.95,0.69,0.46,0.4,0.39,0.44,0.31,0.32,0.38,0.25,0.28,0.31
a_1,0.72,0.89,0.78,0.69,0.57,0.94,0.55,0.45,0.42,0.48,0.47,0.44,0.4,0.24,0.31,0.33
h_1,0.96,1.24,0.89,0.92,0.75,0.55,0.8,0.62,0.53,0.51,0.49,0.47,0.5,0.36,0.4,0.56
g_1,0.9,0.95,1.25,0.87,0.78,0.68,0.6,0.8,0.52,0.62,0.57,0.63,0.49,0.4,0.4,0.39
d_0,0.82,1.01,0.83,1.42,0.97,0.65,0.66,0.54,0.74,0.43,0.49,0.49,0.57,0.4,0.46,0.45
c_0,1.16,1.13,0.83,1.02,0.71,0.65,0.75,0.58,0.75,0.74,0.89,0.59,0.57,0.52,0.45,0.48
b_0,1.12,1.24,0.95,1.13,0.82,0.54,0.72,0.59,0.68,0.55,0.74,0.54,0.64,0.72,0.45,0.47
f_0,0.97,1.03,1.12,1.1,1.01,0.72,0.74,0.63,0.65,0.6,0.63,0.71,0.61,0.44,0.75,0.5
h_0,1.08,1.41,1.08,1.02,0.89,0.78,0.63,0.77,0.63,0.63,0.59,0.52,0.56,0.47,0.46,0.58
a_0,1.17,1.33,1.19,1.18,0.99,0.63,0.83,0.71,0.72,0.69,0.52,0.52,0.63,0.68,0.48,0.48
e_0,1.07,1.32,1.28,1.12,1.14,0.68,0.86,0.84,0.66,0.69,0.66,0.49,0.68,0.5,0.67,0.61
g_0,1.18,1.23,1.49,1.01,1.01,0.81,0.71,0.62,0.6,0.74,0.65,0.74,0.62,0.5,0.53,0.49
