,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,0.96,1.06,1.0,0.99,1.13,0.95,1.44,1.0,1.04,1.16,1.15,1.07,1.0,0.91
f_1,1.31,1.0,0.9,1.14,0.95,0.86,0.73,1.05,0.91,0.97,1.01,1.03,0.77,1.03,1.07,1.0
d_1,1.04,1.11,1.0,0.83,0.96,0.98,1.08,0.87,0.99,1.33,1.06,0.88,1.14,1.0,0.85,0.78
c_1,0.94,0.88,1.2,1.0,1.3,1.16,0.83,1.06,0.76,0.88,0.91,0.91,1.03,0.77,0.93,1.25
b_1,1.0,1.05,1.04,0.77,1.0,1.31,1.06,1.15,1.0,1.06,0.71,0.95,1.05,1.06,1.11,0.9
a_1,1.01,1.16,1.02,0.86,0.76,1.0,1.18,0.99,0.98,1.07,1.15,1.2,0.93,,1.04,0.95
h_1,0.89,1.37,0.96,1.18,0.91,0.85,1.0,1.19,0.8,0.79,0.89,0.85,1.04,0.83,0.85,1.3
g_1,1.05,0.93,1.14,0.95,0.87,0.98,0.83,1.0,0.95,0.98,0.96,1.16,0.87,1.01,0.87,1.1
d_0,0.65,1.13,1.01,1.4,1.04,0.95,1.21,1.04,1.0,0.84,0.98,1.01,1.0,1.04,1.31,1.18
c_0,1.04,1.07,0.75,1.15,0.96,0.88,1.32,0.99,1.17,1.0,1.46,1.3,1.08,1.08,0.93,1.06
b_0,0.93,1.04,0.91,1.21,1.41,0.8,1.07,0.99,1.06,0.68,1.0,0.86,1.3,1.45,1.13,1.28
f_0,0.86,1.11,1.13,1.17,1.02,0.92,1.18,0.79,0.92,0.81,1.17,1.0,0.91,1.05,1.4,0.96
h_0,0.81,1.34,0.9,0.94,0.96,0.99,0.98,1.11,1.03,0.93,0.79,1.06,1.0,0.79,0.86,1.2
a_0,0.92,1.01,1.05,1.28,0.95,,1.2,0.98,0.97,0.92,0.66,0.85,1.18,1.0,1.0,1.15
e_0,0.88,0.97,1.15,1.07,0.95,0.86,1.22,1.17,0.85,1.13,0.9,0.75,1.21,0.96,1.0,0.99
g_0,0.98,1.0,1.24,0.84,1.1,1.0,0.75,0.87,0.87,0.94,0.82,1.0,0.86,0.83,1.0,1.0
