,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.63,0.61,0.57,0.57,0.55,0.26,0.28,0.33,0.25,0.27,0.3,0.19,0.26,0.25,0.23
e_1,0.44,0.4,0.7,0.61,0.63,0.58,0.33,0.33,0.35,0.29,0.27,0.32,0.23,0.27,0.36,0.27
c_1,0.62,0.51,0.39,0.66,0.67,0.58,0.33,0.19,0.3,0.27,0.24,0.25,0.24,0.25,0.27,0.22
d_1,0.62,0.69,0.6,0.38,0.62,0.48,0.28,0.32,0.23,0.29,0.28,0.23,0.21,0.25,0.24,0.16
b_1,0.69,0.56,0.4,0.66,0.36,0.77,0.37,0.27,0.33,0.34,0.38,0.29,0.23,0.27,0.28,0.24
a_1,0.68,0.58,0.55,0.67,0.36,0.3,0.4,0.29,0.38,0.28,0.42,0.31,0.26,0.33,0.27,0.24
h_1,0.6,0.54,0.57,0.6,0.54,0.49,0.23,0.26,0.33,0.27,0.26,0.26,0.24,0.23,0.24,0.24
d_0,0.54,0.42,0.71,0.65,0.62,0.53,0.33,0.23,0.32,0.25,0.26,0.24,0.23,0.26,0.27,0.25
g_1,0.62,0.56,0.6,0.59,0.57,0.43,0.25,0.27,0.21,0.26,0.25,0.26,0.19,0.23,0.25,0.24
c_0,0.6,0.61,0.8,0.39,0.58,0.52,0.31,0.35,0.27,0.21,0.28,0.25,0.24,0.27,0.25,0.23
b_0,0.55,0.59,0.77,0.48,0.68,0.47,0.3,0.27,0.3,0.18,0.2,0.27,0.24,0.27,0.21,0.23
f_0,0.67,0.57,0.59,0.63,0.5,0.49,0.28,0.29,0.22,0.26,0.25,0.2,0.21,0.23,0.27,0.17
h_0,0.58,0.63,0.57,0.54,0.56,0.45,0.3,0.27,0.35,0.23,0.25,0.24,0.25,0.24,0.24,0.22
a_0,0.56,0.56,0.59,0.53,0.61,0.58,0.3,0.27,0.34,0.21,0.17,0.26,0.21,0.18,0.26,0.19
e_0,0.69,0.59,0.55,0.55,0.53,0.56,0.3,0.26,0.25,0.24,0.25,0.16,0.22,0.22,0.18,0.22
g_0,0.58,0.53,0.6,0.62,0.58,0.49,0.24,0.25,0.33,0.25,0.24,0.27,0.18,0.26,0.24,0.22
