,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.15,75.37,93.78,97.03,91.7,65.07,29.38,26.74,8.76,,23.35,26.25,13.52,21.0,13.14,9.64
f_1,89.26,1.15,116.41,82.48,75.65,102.74,14.2,36.1,18.0,16.54,,15.44,9.12,18.9,14.72,17.35
d_1,116.03,66.67,1.15,117.82,126.08,114.82,23.67,14.73,,15.69,14.92,15.91,17.82,23.62,18.4,7.71
e_1,82.88,56.84,135.04,1.15,100.87,97.6,29.38,24.9,16.24,25.5,20.65,19.44,12.25,,,10.84
b_1,50.45,111.84,108.9,106.42,1.15,102.74,42.6,34.38,27.75,24.48,14.92,,10.32,16.43,30.67,15.09
a_1,290.08,216.69,198.59,173.63,86.46,1.15,37.04,40.11,27.75,43.71,22.38,40.38,18.67,,,24.79
h_1,74.06,84.56,88.84,113.76,91.7,139.43,2.0,30.08,22.2,18.55,19.18,21.0,,10.5,14.15,15.77
g_1,99.46,108.34,96.46,137.46,121.04,122.0,22.42,2.0,23.79,24.48,26.85,23.86,12.25,29.08,23.0,
d_0,89.26,111.84,,45.82,75.65,88.73,25.06,25.79,2.99,24.48,24.41,14.19,11.53,,19.37,11.57
c_0,,101.97,48.93,173.63,108.07,114.82,24.34,24.9,22.2,2.91,16.78,18.75,14.0,,21.65,13.35
f_0,102.38,,105.5,109.97,104.34,102.74,30.43,20.06,21.48,21.86,3.0,35.0,17.82,21.0,,12.85
b_0,204.76,105.06,80.38,131.96,,139.43,32.77,32.82,25.62,11.55,18.52,3.11,16.33,17.18,,21.69
h_0,82.88,105.06,116.41,70.19,116.38,88.73,,34.38,26.64,20.4,33.56,13.46,,18.9,21.65,13.88
e_0,204.76,288.92,198.59,,126.08,,71.0,31.39,,,19.89,30.88,21.78,2.8,,26.69
a_0,232.07,192.61,177.68,,159.26,,53.25,51.57,33.3,30.6,,,15.68,,3.07,19.28
g_0,128.93,150.74,120.57,97.03,178.0,130.13,21.3,,22.2,21.1,24.41,25.0,16.33,25.2,16.73,
