,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.99,0.77,0.69,0.92,0.76,0.63,0.95,0.95,1.55,0.89,0.98,0.99,0.91,0.99,0.76,1.0
f_1,1.31,2.01,0.74,0.71,0.62,0.6,0.92,0.86,0.94,0.78,0.66,0.94,0.93,0.99,0.55,0.8
d_1,0.69,0.83,2.4,0.62,0.68,0.77,0.95,0.9,0.56,1.78,0.95,1.14,0.98,1.02,1.18,0.97
c_1,0.69,0.75,0.75,2.36,1.32,0.67,0.97,0.85,0.89,0.56,0.84,0.65,0.99,0.77,0.86,1.01
b_1,0.67,0.75,0.7,0.75,2.49,1.38,0.93,0.93,0.89,0.91,1.05,0.69,0.98,0.76,1.02,0.87
a_1,0.74,0.83,0.78,0.78,0.7,3.48,0.92,0.93,1.03,0.97,1.04,1.03,1.23,0.78,0.79,0.97
h_1,0.72,1.07,0.96,0.7,0.81,0.74,1.96,1.39,0.87,1.04,1.03,1.09,0.77,1.11,1.21,1.35
g_1,0.71,0.74,1.3,0.84,0.73,0.73,0.87,2.36,0.85,1.1,1.66,1.13,1.08,1.09,1.37,0.98
d_0,0.72,0.81,0.54,1.59,0.87,0.74,0.98,0.98,1.73,0.71,1.05,1.06,0.96,0.97,1.07,1.13
c_0,0.83,0.94,0.85,0.6,0.59,1.01,1.13,1.08,1.06,1.74,1.13,2.2,1.14,1.48,1.54,1.29
f_0,0.66,0.73,1.0,0.91,0.81,0.82,1.1,1.22,1.02,1.15,1.97,1.26,1.24,1.15,2.57,1.19
b_0,0.89,0.96,0.9,0.93,0.51,0.64,1.11,1.11,0.97,0.93,1.35,1.93,1.18,2.32,1.24,1.34
h_0,0.79,1.15,0.89,0.89,0.81,0.7,0.89,1.36,0.86,0.89,1.13,1.01,0.77,0.98,1.14,1.5
a_0,0.77,1.01,0.98,0.77,0.85,0.38,1.18,1.09,0.89,1.03,1.32,1.03,1.4,2.34,1.41,1.31
e_0,0.62,0.85,0.97,0.94,0.88,0.83,1.16,1.27,0.92,1.04,0.97,1.2,1.09,1.13,2.48,1.17
g_0,0.67,0.72,1.33,0.87,0.8,0.81,1.16,0.97,0.89,1.05,1.64,1.01,1.12,1.01,1.34,0.94
