,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.05,0.94,0.87,1.0,0.93,1.13,1.38,0.86,1.23,1.22,0.98,1.02,1.0,0.88,1.23
f_1,0.96,1.0,1.33,0.99,0.88,0.85,0.91,0.89,1.0,1.06,0.92,0.75,0.83,0.94,1.0,0.8
e_1,1.06,0.75,1.0,1.12,1.09,1.05,0.98,0.96,1.0,1.33,1.07,1.18,1.05,1.02,1.08,0.97
c_1,1.16,1.01,0.89,1.0,1.53,0.88,0.78,0.72,0.89,0.69,0.7,0.86,0.99,0.9,0.97,1.05
b_1,1.01,1.13,0.92,0.66,1.0,1.63,1.18,1.02,1.06,0.86,1.16,1.09,1.06,0.95,1.07,1.02
a_1,1.07,1.18,0.95,1.15,0.62,1.0,1.14,1.05,1.11,0.97,1.15,1.18,1.24,1.02,1.21,0.84
h_1,0.86,1.09,1.02,1.26,0.83,0.89,1.0,0.93,1.3,0.93,0.9,1.05,0.99,0.91,1.11,0.86
c_0,0.74,1.05,1.03,1.28,0.89,0.98,1.08,1.0,1.19,1.14,1.51,0.99,1.09,1.25,1.09,1.02
g_1,1.15,1.09,0.95,1.1,0.92,0.86,0.77,0.87,1.0,0.84,0.87,1.11,0.9,0.97,0.96,0.88
d_0,0.87,0.97,0.74,1.43,1.16,0.94,1.06,0.87,1.18,1.0,1.09,0.94,0.99,1.01,0.95,0.86
b_0,0.84,1.07,0.91,1.42,0.95,0.92,1.12,0.7,1.13,0.94,1.0,1.17,1.11,1.44,1.0,1.05
f_0,1.02,1.2,0.8,1.2,0.97,0.87,0.96,0.99,0.93,1.03,0.89,1.0,1.06,1.23,0.8,1.5
h_0,0.98,1.18,0.93,1.04,0.99,0.79,1.02,0.94,1.11,0.98,0.9,0.96,1.0,0.92,1.17,0.92
a_0,0.97,1.16,0.96,1.18,1.03,0.86,1.13,0.83,1.05,1.14,0.68,0.91,1.09,1.0,1.05,1.03
g_0,1.19,0.96,0.96,1.1,0.9,0.83,0.9,0.95,1.02,0.98,0.92,1.26,0.85,0.91,1.0,1.14
e_0,0.86,1.29,1.07,0.93,0.97,1.15,1.17,1.02,1.12,1.21,0.9,0.68,1.01,0.98,0.82,1.0
