,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.48,1.2,1.48,1.8,2.7,17.52,27.72,40.44,32.83,76.48,,93.87,97.55,87.73,148.25
e_1,0.67,1.0,1.27,1.38,1.51,4.24,20.8,32.33,35.2,39.52,39.73,69.87,85.07,,119.97,167.72
d_1,0.83,0.79,1.0,1.0,1.47,3.1,13.79,,20.5,41.87,43.36,53.17,87.04,91.04,102.46,83.64
c_1,0.67,0.72,1.0,1.0,1.61,3.25,15.8,15.54,16.44,,41.29,58.73,95.36,79.84,71.11,91.5
b_1,0.56,0.66,0.68,0.62,1.0,,11.1,17.44,15.97,14.9,,25.63,42.75,,,59.21
a_1,0.37,0.24,0.32,0.31,,1.0,3.95,10.26,,12.22,15.94,23.63,24.15,,,50.6
h_1,0.06,0.05,0.07,0.06,0.09,0.25,1.0,1.6,2.72,1.63,2.35,3.33,,5.3,4.45,10.62
d_0,0.04,0.03,,0.06,0.06,0.1,0.63,1.0,0.89,1.18,1.83,2.15,3.06,3.06,3.66,6.46
g_1,0.02,0.03,0.05,0.06,0.06,,0.37,1.13,1.0,1.06,1.75,2.92,2.96,3.34,3.02,
c_0,0.03,0.03,0.02,,0.07,0.08,0.61,0.85,0.94,1.0,2.08,2.0,3.12,3.17,3.17,6.37
b_0,0.01,0.03,0.02,0.02,,0.06,0.43,0.55,0.57,0.48,1.0,1.5,1.8,2.33,2.87,2.18
f_0,,0.01,0.02,0.02,0.04,0.04,0.3,0.47,0.34,0.5,0.67,1.0,1.41,2.05,1.31,1.55
h_0,0.01,0.01,0.01,0.01,0.02,0.04,,0.33,0.34,0.32,0.56,0.71,,1.22,1.38,1.81
e_0,0.01,,0.01,0.01,,,0.19,0.33,0.3,0.32,0.43,0.49,0.82,1.0,,
a_0,0.01,0.01,0.01,0.01,,,0.22,0.27,0.33,0.32,0.35,0.76,0.72,,1.0,1.31
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.09,0.15,,0.16,0.46,0.64,0.55,,0.76,
