,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.71,0.82,0.97,0.69,0.84,0.75,0.99,0.97,1.54,0.81,1.03,0.96,0.91,1.01,0.73,1.05
f_1,1.25,1.77,0.81,0.75,0.76,0.63,0.9,0.96,1.0,0.82,0.73,0.86,0.9,1.02,0.65,0.94
c_1,0.77,0.79,1.88,0.78,1.29,0.8,0.91,0.89,0.9,0.67,0.94,0.76,0.85,0.93,0.99,0.89
d_1,0.81,0.89,0.63,2.1,0.71,0.71,0.98,1.06,0.64,1.75,1.03,1.23,1.21,1.07,1.2,1.0
b_1,0.74,0.79,0.88,0.84,1.99,1.51,0.88,0.8,0.98,0.93,0.96,0.72,0.75,0.96,1.0,1.02
a_1,0.74,0.86,0.89,0.85,0.83,3.01,1.17,0.9,0.84,0.87,1.01,1.08,0.81,0.97,1.14,0.95
h_1,0.87,1.13,0.87,0.98,0.76,0.76,1.69,1.24,0.91,0.88,0.98,1.03,0.91,0.81,0.98,1.25
g_1,0.83,0.81,0.8,1.39,0.71,0.81,0.92,1.95,0.75,1.11,1.49,1.22,1.12,1.08,1.15,0.92
d_0,0.78,0.9,1.5,0.65,0.85,0.78,0.99,0.95,1.37,0.76,1.0,0.9,1.07,0.98,1.01,0.98
c_0,0.87,1.0,0.67,1.05,0.67,0.69,1.16,1.19,0.88,1.7,1.07,2.08,1.44,1.08,1.08,1.17
f_0,0.75,0.85,0.89,0.94,0.85,0.85,1.08,1.02,1.09,1.05,1.76,1.22,1.33,1.09,2.16,1.02
b_0,0.93,0.98,0.83,1.08,0.63,0.59,1.15,1.27,0.88,1.25,1.1,1.98,2.17,1.05,0.97,1.19
a_0,0.86,0.99,0.87,0.88,0.8,0.62,1.14,1.11,0.92,1.16,1.22,1.16,2.07,1.11,1.45,0.98
h_0,0.84,1.11,0.92,0.94,0.77,0.66,0.83,1.28,0.99,1.09,0.88,1.04,1.18,0.85,1.01,1.31
e_0,0.59,1.01,0.89,0.99,0.86,0.82,1.22,1.06,0.85,1.21,1.04,1.16,1.16,1.2,2.04,1.1
g_0,0.75,0.88,0.92,1.31,0.85,0.77,1.03,0.9,0.91,1.0,1.51,1.01,1.02,1.02,1.24,0.86
