,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.96,0.59,0.59,0.7,0.52,0.41,0.39,0.57,0.33,0.35,0.38,0.37,0.36,0.24,0.33,0.24
f_1,0.91,0.96,0.58,0.59,0.48,0.36,0.38,0.42,0.34,0.36,0.37,0.28,0.34,0.25,0.3,0.2
d_1,0.65,0.7,0.96,0.52,0.49,0.39,0.42,0.33,0.37,0.58,0.4,0.35,0.36,0.31,0.29,0.27
c_1,0.58,0.65,0.62,0.96,0.87,0.47,0.42,0.36,0.34,0.29,0.3,0.36,0.35,0.27,0.31,0.25
b_1,0.67,0.69,0.67,0.56,0.95,0.74,0.45,0.39,0.34,0.43,0.32,0.38,0.37,0.23,0.31,0.31
a_1,0.79,0.84,0.69,0.67,0.53,0.95,0.46,0.5,0.41,0.4,0.4,0.42,0.46,0.27,0.35,0.3
h_1,0.99,1.13,0.99,0.8,0.72,0.64,0.81,0.59,0.61,0.55,0.54,0.54,0.49,0.39,0.58,0.39
d_0,0.87,1.0,0.81,1.41,0.99,0.57,0.64,0.75,0.52,0.42,0.55,0.56,0.55,0.44,0.5,0.41
g_1,0.98,0.97,1.27,0.93,0.76,0.64,0.58,0.54,0.81,0.65,0.57,0.72,0.5,0.45,0.42,0.44
c_0,1.04,1.15,0.92,0.91,0.68,0.72,0.73,0.7,0.59,0.76,0.89,0.64,0.65,0.52,0.55,0.49
b_0,1.03,1.1,1.04,1.04,0.72,0.6,0.72,0.68,0.6,0.53,0.76,0.61,0.62,0.68,0.55,0.43
f_0,0.93,1.05,1.07,1.03,0.91,0.7,0.7,0.67,0.56,0.58,0.63,0.76,0.58,0.43,0.5,0.68
h_0,1.16,1.32,1.13,1.05,0.86,0.65,0.61,0.65,0.7,0.61,0.63,0.66,0.55,0.45,0.64,0.46
a_0,1.18,1.3,1.13,1.15,1.02,0.54,0.8,0.7,0.69,0.64,0.61,0.7,0.78,0.68,0.59,0.47
g_0,1.07,1.08,1.48,1.14,1.0,0.74,0.67,0.67,0.63,0.65,0.6,0.83,0.61,0.51,0.57,0.61
e_0,1.08,1.3,1.17,1.26,0.98,0.81,0.78,0.68,0.66,0.61,0.66,0.54,0.67,0.51,0.51,0.69
