,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.32,0.91,1.1,0.87,0.96,0.82,1.03,0.92,0.96,0.91,0.9,0.91,0.81,0.77,1.07
e_1,0.76,1.0,0.88,1.07,1.17,1.0,1.13,1.09,1.03,1.42,1.08,1.09,1.25,1.1,1.3,1.06
d_1,1.1,1.13,1.0,0.93,0.88,0.99,0.99,0.83,1.25,0.94,1.09,1.08,0.92,0.97,0.97,0.78
c_1,0.91,0.94,1.07,1.0,1.37,0.92,0.94,0.81,0.8,0.72,0.81,0.91,0.94,1.06,0.85,1.03
b_1,1.14,0.85,1.15,0.74,1.0,1.38,1.02,1.09,1.09,1.01,0.97,1.01,0.95,1.19,1.28,1.14
a_1,1.03,0.99,1.02,1.1,0.73,1.0,1.29,1.2,0.98,1.05,1.17,1.0,1.02,1.09,1.12,1.11
h_1,1.23,0.88,1.01,1.03,0.99,0.81,1.0,1.27,0.93,0.87,1.0,0.89,0.86,0.98,0.91,1.09
g_1,1.07,0.92,1.21,1.19,0.94,0.86,0.8,1.0,0.84,0.88,1.02,1.12,0.9,0.77,1.07,0.95
c_0,1.12,1.0,0.79,1.15,0.83,0.92,1.06,1.3,1.0,1.13,1.4,1.02,1.19,1.09,1.11,1.06
d_0,1.01,0.71,1.02,1.4,0.98,0.98,1.16,1.13,0.82,1.0,1.02,0.99,0.99,1.06,0.87,1.12
b_0,1.12,0.91,0.96,1.31,0.94,0.84,1.04,0.98,0.73,1.04,1.0,1.09,1.49,1.05,0.93,0.91
f_0,1.05,0.91,0.94,1.15,0.9,1.03,1.08,0.89,0.96,0.99,0.91,1.0,1.01,1.17,1.4,0.84
a_0,1.09,0.85,1.03,1.04,1.18,0.92,1.19,1.08,0.85,0.93,0.69,0.97,1.0,1.17,1.01,0.97
h_0,1.31,0.91,1.02,0.93,0.81,0.97,1.01,1.24,0.93,0.99,0.99,0.86,0.9,1.0,1.04,1.16
e_0,1.35,0.76,1.01,1.19,0.78,0.87,1.1,1.01,0.92,1.12,1.05,0.71,0.95,0.87,1.0,0.97
g_0,0.95,0.9,1.3,1.0,0.9,0.9,0.92,1.07,0.98,0.86,1.01,1.28,1.05,0.81,0.93,1.0
