,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.66,0.8,1.56,1.94,1.45,1.42,0.82,0.66,0.68,0.46,0.63,0.59,0.45,0.77,0.42,0.5
f_1,1.69,0.65,1.22,1.42,1.44,1.02,0.49,0.59,0.67,0.52,0.76,0.4,0.34,0.39,0.53,0.45
d_1,1.62,1.65,0.64,1.44,1.36,1.22,0.63,0.8,0.49,0.58,0.5,0.58,0.42,0.53,0.47,0.28
c_1,1.09,1.89,1.68,0.64,1.65,1.31,0.62,0.34,0.59,0.7,0.49,0.47,0.44,0.46,0.43,0.46
b_1,1.55,1.89,1.51,0.88,0.63,2.0,0.73,0.6,0.69,0.74,0.52,1.02,0.51,0.54,0.52,0.47
a_1,1.8,2.18,1.88,1.84,0.96,0.57,0.9,0.76,0.86,0.66,0.55,0.94,0.56,0.7,1.08,0.57
h_1,1.96,2.42,2.14,2.04,2.14,2.05,0.58,0.76,1.07,0.79,0.81,0.73,0.7,0.7,0.62,0.7
d_0,1.41,2.36,3.34,2.72,2.33,2.07,1.13,0.64,1.23,0.74,0.92,0.86,0.64,0.82,0.86,0.73
g_1,2.42,2.39,2.35,2.6,2.63,2.08,0.78,0.78,0.56,0.91,0.97,0.7,0.52,0.69,0.69,0.83
c_0,2.57,2.16,1.47,4.11,2.12,3.16,1.19,1.22,1.13,0.61,0.95,0.96,0.68,0.76,0.72,0.64
f_0,2.14,3.6,2.62,2.59,2.41,2.36,1.14,0.87,0.8,0.87,0.6,0.93,0.68,1.06,0.91,0.48
b_0,2.12,2.69,2.16,3.51,3.0,2.14,1.1,0.82,1.33,0.57,0.87,0.58,0.76,0.99,0.98,0.77
h_0,2.8,2.76,2.83,2.67,2.42,2.04,1.66,1.04,1.36,1.02,1.08,1.07,1.02,0.77,0.94,0.82
e_0,3.19,4.04,2.76,3.08,2.44,2.31,1.41,1.12,1.36,1.16,0.59,0.89,0.94,0.56,1.16,0.81
a_0,3.19,2.55,3.16,3.53,3.61,2.77,1.22,1.01,1.34,1.1,0.9,0.6,0.99,0.72,0.6,0.71
g_0,2.94,3.22,3.37,2.77,2.76,2.83,0.96,1.06,1.75,1.08,1.22,0.97,0.73,0.89,1.04,1.06
