,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,25.13,0.35,0.28,0.35,0.75,0.21,0.84,0.7,0.78,0.13,0.89,0.5,0.92,0.8,0.66,0.74
f_1,0.38,24.74,0.42,0.65,0.29,0.23,0.78,0.74,0.6,0.73,0.12,0.92,0.82,0.41,0.85,0.69
d_1,0.29,0.34,27.48,0.25,0.33,0.3,0.78,0.81,0.22,1.83,0.88,1.12,0.85,0.96,0.83,0.9
e_1,0.37,0.34,0.25,27.06,0.35,0.37,0.6,0.62,1.81,0.67,0.83,0.8,1.12,0.2,0.72,1.08
b_1,0.31,0.38,0.26,0.35,28.54,0.84,0.83,0.59,0.86,0.69,0.85,0.14,0.8,0.94,0.73,0.65
a_1,0.48,0.3,0.29,0.29,0.3,48.45,0.63,0.75,0.79,0.78,0.8,0.68,0.93,1.09,0.13,0.9
h_1,0.53,1.07,0.7,0.54,0.43,0.76,9.32,1.61,1.14,1.65,1.51,1.63,0.46,1.14,1.46,1.99
g_1,0.51,0.47,1.2,0.56,0.5,0.54,1.4,11.25,1.25,1.53,2.76,1.48,1.39,1.87,1.75,0.64
d_0,1.59,0.68,0.22,0.71,0.55,0.57,0.94,1.3,5.18,1.13,1.5,1.53,1.33,1.3,1.4,1.53
c_0,0.29,0.72,0.93,0.63,0.45,0.66,1.45,1.52,1.41,6.17,1.85,4.23,1.78,1.93,1.97,2.4
f_0,0.58,0.22,0.95,0.61,0.74,0.91,1.19,1.26,1.26,1.75,6.85,1.94,1.53,3.35,1.62,1.73
b_0,0.57,0.96,0.77,0.74,0.17,0.48,1.14,1.68,1.74,1.71,1.37,6.67,1.89,1.84,3.26,1.84
h_0,0.6,0.94,0.66,0.64,0.63,0.69,0.39,2.19,1.57,1.33,1.49,1.42,0.72,1.37,1.81,2.17
e_0,0.72,0.89,0.68,,0.79,0.66,2.01,1.28,1.13,1.18,1.79,1.84,2.17,10.65,1.61,1.81
a_0,0.91,0.76,1.08,0.6,0.56,0.3,1.53,1.08,1.26,1.01,1.05,0.77,1.44,1.3,8.88,2.1
g_0,0.68,0.46,1.36,0.56,0.64,0.53,1.08,0.56,1.21,1.34,2.2,1.42,1.54,1.16,1.6,0.67
