,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.06,2.42,1.84,2.07,2.34,1.58,0.66,0.96,0.64,0.65,0.59,1.13,0.41,0.64,0.53,0.53
e_1,1.47,1.06,2.47,2.61,2.2,2.13,1.05,0.87,0.73,0.83,0.76,0.8,0.59,0.63,0.58,1.09
d_1,2.58,2.41,1.06,2.03,2.13,1.95,0.77,0.64,0.8,1.18,0.71,0.64,0.5,0.54,0.38,0.56
c_1,2.94,2.07,2.9,1.06,2.72,2.03,0.93,0.79,0.98,0.44,0.61,0.65,0.55,0.62,0.55,0.52
b_1,2.81,2.66,2.86,1.69,1.06,2.85,1.22,1.06,0.94,0.76,1.2,0.7,0.64,0.63,0.62,0.71
a_1,4.37,3.23,3.62,4.23,2.11,1.07,1.4,1.44,0.83,1.11,1.11,0.86,0.91,1.53,0.66,0.94
h_1,7.14,5.75,6.06,6.37,5.01,4.99,1.34,2.43,1.84,1.79,1.83,1.47,1.7,1.47,1.37,1.46
g_1,6.9,7.39,7.09,7.56,6.58,5.46,1.99,1.33,1.93,1.66,1.76,2.24,1.19,1.6,1.66,1.57
c_0,8.38,7.03,4.34,12.19,6.46,6.87,2.48,2.59,1.53,2.58,2.45,2.03,1.58,2.12,1.5,1.84
d_0,7.55,4.67,9.17,9.57,7.82,6.0,2.83,3.28,2.08,1.6,2.2,1.94,1.65,2.3,1.75,1.89
b_0,9.09,8.34,6.8,10.69,10.12,5.61,2.94,2.67,1.52,2.3,1.51,2.01,1.82,2.34,1.72,2.09
f_0,11.03,8.01,8.2,7.55,8.17,7.34,3.63,2.18,2.26,2.49,2.39,1.55,1.77,2.0,1.41,2.22
h_0,11.01,9.47,9.51,11.13,8.84,7.21,4.89,3.96,2.9,3.21,2.78,2.9,3.07,2.36,2.34,2.07
a_0,10.4,10.07,11.53,12.04,12.18,10.78,4.25,4.13,2.87,3.21,1.9,2.88,2.04,1.59,2.26,2.61
g_0,12.36,10.43,12.29,11.38,11.1,9.73,3.12,5.06,3.22,3.46,3.07,3.37,1.94,2.69,3.13,3.23
e_0,15.77,15.32,11.15,11.62,11.63,9.25,3.93,3.77,3.22,2.97,2.81,1.68,3.43,3.44,1.98,1.6
