,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.87,1.42,1.18,1.26,3.12,14.71,25.34,29.53,31.08,33.25,40.8,55.87,98.55,100.35,86.81
d_1,1.14,1.0,1.12,1.03,1.4,2.62,16.9,22.81,27.0,45.42,37.46,44.71,70.47,72.38,94.7,92.31
e_1,0.7,0.89,1.0,1.25,1.51,3.8,18.07,26.24,38.73,34.16,41.45,49.49,76.37,91.87,97.15,123.81
c_1,0.86,0.96,0.79,1.0,1.67,2.22,12.57,19.29,17.44,21.81,29.71,28.79,64.76,75.31,77.92,91.09
b_1,0.8,0.71,0.66,0.6,1.0,3.56,13.49,20.37,19.24,26.13,25.6,32.71,45.93,69.57,63.27,78.29
a_1,0.32,0.38,0.26,0.45,0.28,1.0,5.64,7.81,8.98,9.49,11.9,14.28,21.6,26.39,23.87,29.98
h_1,0.07,0.06,0.06,0.08,0.08,0.18,1.0,1.95,1.54,1.92,2.04,2.62,3.89,6.12,4.92,5.99
g_1,0.04,0.05,0.04,0.05,0.05,0.12,0.52,1.0,0.93,1.29,1.58,1.87,2.24,3.01,3.33,3.96
d_0,0.03,0.04,0.03,0.06,0.05,0.11,0.64,1.11,1.0,1.03,1.21,1.46,2.47,3.04,3.78,3.58
c_0,0.03,0.02,0.03,0.04,0.04,0.1,0.53,0.8,1.0,1.0,1.17,1.82,2.26,2.68,3.29,3.57
f_0,0.03,0.03,0.02,0.03,0.04,0.08,0.48,0.67,0.86,0.84,1.0,1.24,1.78,1.86,2.68,3.92
b_0,0.02,0.02,0.02,0.03,0.03,0.07,0.39,0.53,0.66,0.54,0.82,1.0,1.69,1.99,3.26,2.29
h_0,0.02,0.01,0.01,0.02,0.02,0.04,0.27,0.43,0.39,0.44,0.55,0.61,1.0,1.55,1.35,1.3
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.16,0.33,0.3,0.39,0.52,0.51,0.62,1.0,1.07,1.07
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.28,0.26,0.28,0.4,0.3,0.77,0.96,1.0,0.81
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.26,0.27,0.28,0.26,0.45,0.78,0.93,1.34,1.0
