,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.66,1.5,1.58,1.42,1.38,1.09,0.56,0.43,0.59,0.89,0.57,0.44,0.55,0.39,0.49,0.34
f_1,1.29,0.66,1.51,1.55,1.26,1.21,0.51,0.74,0.45,0.5,0.46,0.71,0.41,0.34,0.34,0.43
e_1,1.47,0.95,0.65,1.74,1.48,1.46,0.77,0.61,0.57,0.69,0.65,0.56,0.52,0.39,0.74,0.45
c_1,1.7,1.46,1.14,0.64,1.66,1.24,0.79,0.69,0.72,0.31,0.52,0.55,0.51,0.52,0.53,0.38
b_1,1.83,1.73,1.53,0.91,0.63,1.72,0.73,0.72,0.56,0.67,0.8,0.53,0.48,0.48,0.6,0.52
a_1,2.03,1.79,1.92,2.04,1.06,0.57,0.89,0.97,0.77,0.64,0.72,0.69,1.07,0.62,0.62,0.52
h_1,1.96,2.6,1.99,1.95,2.29,2.04,0.58,1.09,0.72,0.8,0.75,0.74,0.74,0.91,0.69,0.64
g_1,2.58,2.2,2.58,2.45,2.22,1.72,0.82,0.56,0.82,0.99,0.84,0.95,0.79,0.51,0.8,0.93
c_0,1.41,3.06,2.24,3.84,2.93,2.03,1.19,1.04,0.62,1.12,1.02,0.85,0.91,0.63,0.81,0.64
d_0,3.48,2.68,1.44,2.92,2.19,2.67,1.25,1.21,0.79,0.61,0.83,0.94,0.79,0.66,0.9,0.72
b_0,2.15,2.85,2.17,2.64,3.62,2.41,1.09,1.12,0.59,0.93,0.59,0.92,1.12,0.86,1.0,0.8
f_0,2.52,3.85,2.36,2.52,2.61,2.16,1.08,0.76,0.87,0.89,0.8,0.61,0.85,0.89,0.94,0.55
a_0,2.41,2.89,2.82,2.86,3.39,4.57,1.32,1.31,0.85,1.02,0.58,1.02,0.58,0.79,0.76,0.82
h_0,2.85,2.93,3.12,2.52,2.39,2.06,1.56,1.58,1.09,1.08,0.91,0.93,0.88,1.12,0.88,0.92
e_0,2.59,4.29,3.6,2.97,2.81,2.71,1.18,1.1,1.01,1.06,0.86,0.66,1.09,0.81,0.58,0.74
g_0,2.82,3.21,2.69,3.1,2.67,3.1,1.05,2.12,1.13,0.96,0.82,1.05,0.97,0.7,0.89,0.95
