,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.32,1.26,1.17,1.58,3.29,15.92,29.36,30.78,34.14,40.04,53.9,63.2,79.53,81.46,103.82
e_1,0.76,1.0,1.37,1.11,1.71,2.64,17.75,37.66,39.96,32.51,39.21,54.2,60.52,73.27,80.99,106.48
c_1,0.8,0.73,1.0,1.17,1.72,3.43,15.32,25.98,20.2,20.01,33.8,37.47,56.92,61.65,89.74,86.34
d_1,0.86,0.9,0.85,1.0,1.43,2.56,13.85,20.22,25.02,35.36,39.56,38.55,67.3,63.83,83.38,59.2
b_1,0.63,0.58,0.58,0.7,1.0,3.21,10.98,18.78,21.96,25.92,20.41,30.77,44.67,44.28,57.39,71.84
a_1,0.3,0.38,0.29,0.39,0.31,1.0,5.94,8.77,8.48,8.55,11.88,12.67,21.25,,26.46,25.01
h_1,0.06,0.06,0.07,0.07,0.09,0.18,1.0,1.88,1.72,1.74,2.23,2.53,4.81,4.48,4.99,7.53
g_1,0.03,0.03,0.04,0.05,0.05,0.12,0.54,1.0,1.03,1.07,1.33,2.27,1.87,3.61,3.9,3.68
d_0,0.03,0.02,0.05,0.04,0.04,0.12,0.54,0.98,1.0,0.94,1.23,1.53,2.24,2.47,2.98,3.93
c_0,0.03,0.03,0.05,0.03,0.04,0.12,0.58,0.9,1.08,1.0,1.53,1.32,2.64,2.8,3.08,3.4
b_0,0.03,0.03,0.03,0.03,0.05,0.08,0.44,0.74,0.8,0.61,1.0,1.4,2.05,2.52,2.84,3.38
f_0,0.02,0.02,0.03,0.02,0.03,0.07,0.4,0.46,0.63,0.77,0.71,1.0,1.56,1.61,2.81,2.23
h_0,0.02,0.02,0.02,0.02,0.02,0.05,0.21,0.53,0.43,0.38,0.47,0.64,1.0,1.09,1.09,1.67
a_0,0.01,0.01,0.02,0.02,0.02,,0.23,0.28,0.36,0.37,0.38,0.59,0.86,1.0,0.97,1.2
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.27,0.34,0.32,0.35,0.38,1.05,1.04,1.0,1.11
g_0,0.01,0.01,0.01,0.02,0.01,0.04,0.13,0.26,0.26,0.27,0.3,0.46,0.58,0.79,0.9,1.0
