,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,5.48,0.62,0.41,0.6,0.47,0.68,2.05,5.87,2.06,3.2,3.9,3.16,3.57,5.45,4.29,1.15
f_1,1.05,5.54,0.57,0.62,0.59,0.47,2.47,2.49,1.99,3.43,2.25,0.5,2.48,4.28,3.62,1.83
d_1,0.58,0.67,6.27,0.47,0.56,0.63,2.38,0.64,2.09,5.5,2.92,3.22,3.2,4.07,4.13,3.48
c_1,0.59,0.63,0.66,6.68,1.12,0.45,1.87,2.71,2.44,0.45,2.57,2.46,2.55,3.63,2.56,2.9
b_1,0.57,0.52,0.67,0.56,8.58,1.12,2.5,2.1,2.32,1.95,0.6,3.31,2.59,4.48,3.64,4.21
a_1,0.51,0.56,0.62,0.64,0.52,11.0,2.38,2.94,2.28,3.16,2.69,3.07,0.6,5.89,6.95,2.86
h_1,0.93,1.39,1.17,1.02,1.03,0.87,13.95,3.4,4.86,5.01,5.07,5.14,5.12,2.62,9.32,6.08
d_0,0.84,1.12,0.32,2.21,1.3,1.1,3.43,12.78,3.85,3.93,5.15,4.73,4.35,7.22,6.55,6.04
g_1,0.88,0.87,1.69,1.05,0.81,0.92,3.26,3.9,19.5,4.57,4.63,9.03,4.3,5.42,3.5,6.04
c_0,1.32,1.18,1.14,0.39,1.14,1.09,3.34,5.83,3.15,14.28,9.45,5.6,4.11,7.63,9.48,5.11
b_0,1.04,1.34,1.27,1.15,,0.71,3.97,5.59,4.03,4.58,16.6,5.47,9.36,6.6,9.04,6.52
f_0,1.06,0.45,1.34,1.26,1.03,1.1,3.7,5.61,3.57,4.45,5.47,17.19,6.02,7.8,9.19,11.88
a_0,0.91,1.13,1.26,1.38,1.09,,4.5,6.24,3.16,5.05,5.8,5.11,21.53,8.21,8.33,6.78
h_0,0.97,1.59,1.12,1.0,0.7,1.31,1.9,5.58,4.96,3.72,4.58,4.6,4.73,3.06,11.41,4.13
g_0,0.99,0.88,1.76,1.19,0.9,0.85,4.06,4.77,,4.15,6.26,8.14,5.15,7.13,3.45,5.39
e_0,0.24,1.61,1.25,1.26,1.13,1.17,3.86,4.97,3.96,4.77,4.95,4.73,5.21,7.43,9.17,22.47
