,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.66,1.24,0.79,0.81,0.72,0.64,0.91,0.86,0.87,0.93,0.89,0.72,0.88,0.85,0.65,0.93
e_1,0.88,1.72,0.71,1.01,0.82,0.67,0.94,0.74,0.81,1.6,0.93,0.93,1.07,1.06,0.87,1.05
d_1,0.9,0.79,1.98,0.66,0.72,0.75,1.0,1.09,1.67,0.75,1.18,1.09,1.02,1.07,0.94,1.03
c_1,0.76,0.71,0.79,1.96,1.35,0.91,0.89,0.96,0.69,0.81,0.74,0.96,0.95,0.85,1.02,0.81
b_1,0.79,0.71,0.8,0.91,2.17,1.49,0.94,0.94,0.87,0.86,0.71,0.97,1.0,0.68,0.95,0.93
a_1,0.86,0.77,0.94,0.79,0.76,2.98,1.17,1.11,1.0,0.89,1.09,1.0,0.95,0.8,1.14,1.02
h_1,1.12,0.87,0.88,0.83,0.76,0.76,1.85,1.34,1.06,0.89,1.09,1.06,0.95,1.24,1.14,1.28
g_1,0.78,0.75,1.33,0.78,0.74,0.82,0.95,2.17,1.25,0.72,1.26,1.66,1.07,1.19,1.31,1.02
c_0,1.06,0.92,1.01,0.74,0.62,0.7,1.16,1.03,1.52,0.99,1.91,1.16,1.17,1.4,1.25,1.18
d_0,0.91,0.85,0.66,1.47,0.92,0.72,1.02,0.97,0.71,1.39,1.08,0.92,1.12,1.01,1.02,1.01
b_0,1.01,0.88,1.02,0.92,0.54,0.7,1.19,1.12,0.98,0.93,1.71,1.04,1.07,2.01,1.11,1.15
f_0,0.75,0.78,0.99,0.84,0.81,0.93,1.05,1.11,1.07,1.19,1.26,2.06,1.14,1.19,2.52,1.33
h_0,1.14,0.92,0.98,0.76,0.85,0.76,0.67,1.17,0.88,0.88,0.99,0.94,0.9,1.04,1.05,1.27
a_0,0.99,0.84,0.97,0.96,0.92,0.66,1.11,0.87,1.03,1.01,1.06,0.94,1.13,1.85,0.92,1.08
e_0,0.99,0.7,1.07,0.83,0.83,0.64,0.98,1.35,1.0,1.1,1.2,1.27,1.1,1.59,2.44,1.07
g_0,0.81,0.76,1.3,0.88,0.85,0.72,0.95,0.94,1.07,0.97,1.15,1.49,1.14,1.18,1.42,0.92
