,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.42,1.36,1.34,1.15,1.32,1.19,0.58,0.55,0.53,0.81,0.61,1.17,0.49,0.35,0.51,0.56
c_1,1.19,0.4,1.14,1.5,2.14,1.33,0.58,0.35,0.86,0.66,0.51,0.47,0.62,0.47,0.55,0.54
e_1,0.91,1.4,0.4,1.34,1.15,1.4,0.72,0.7,0.6,0.74,0.61,0.64,0.49,0.56,1.46,0.55
b_1,1.49,0.77,1.28,0.39,1.27,1.57,0.89,0.63,0.7,0.78,0.97,0.55,0.62,0.48,0.55,0.47
d_1,1.35,1.13,1.62,1.26,0.38,1.02,0.62,1.48,0.72,0.45,0.6,0.64,0.68,0.57,0.59,0.35
a_1,1.4,1.33,1.43,0.85,1.31,0.31,0.78,0.61,0.51,0.72,0.69,0.6,1.28,0.52,0.61,0.53
h_1,1.01,1.15,0.79,0.92,1.04,0.83,0.25,0.44,0.41,0.71,0.46,0.4,0.44,0.79,0.35,0.36
d_0,1.04,1.06,0.59,1.04,1.38,1.18,0.53,0.28,0.44,0.51,0.33,0.37,0.44,0.31,0.47,0.32
c_0,0.94,2.6,0.95,0.99,0.56,1.13,0.53,0.54,0.26,0.5,0.48,0.43,0.48,0.43,0.42,0.37
g_1,0.96,0.99,0.99,0.86,1.08,0.95,0.41,0.48,0.45,0.23,0.43,0.43,0.47,0.37,0.39,0.64
b_0,0.82,1.49,0.89,1.69,0.78,0.9,0.49,0.57,0.26,0.55,0.24,0.38,0.54,0.36,0.42,0.44
f_0,1.59,1.3,1.04,0.89,0.7,0.82,0.54,0.42,0.39,0.38,0.42,0.23,0.4,0.37,0.48,0.25
a_0,0.98,1.12,0.95,1.1,0.81,1.04,0.58,0.49,0.34,0.52,0.24,0.48,0.21,0.41,0.46,0.34
h_0,0.97,0.94,0.89,1.1,0.87,1.06,0.6,0.43,0.4,0.5,0.41,0.43,0.35,0.58,0.41,0.35
e_0,1.03,1.06,2.16,0.82,0.9,0.9,0.68,0.38,0.39,0.51,0.36,0.28,0.33,0.35,0.2,0.32
g_0,0.97,0.93,0.88,1.01,1.03,0.91,0.43,0.45,0.42,0.73,0.32,0.51,0.47,0.35,0.35,0.54
