,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.79,0.68,0.87,0.99,0.82,0.69,1.0,1.59,0.9,1.03,0.95,1.03,0.94,1.05,0.66,0.98
d_1,0.71,2.01,0.82,0.65,0.71,0.74,0.95,0.69,1.68,0.99,1.31,1.06,1.09,1.06,1.31,1.19
f_1,1.34,0.72,1.84,0.89,0.67,0.71,0.83,1.03,0.84,0.81,0.87,0.61,1.03,0.86,0.73,0.8
c_1,0.77,0.74,0.82,1.85,1.44,0.77,0.97,0.74,0.72,0.91,0.66,0.88,0.9,0.9,0.91,0.83
b_1,0.8,0.85,0.81,0.79,2.05,1.44,0.97,0.92,0.79,0.93,0.7,0.93,1.01,0.98,0.95,0.8
a_1,0.83,0.89,0.89,0.82,0.65,2.85,1.05,1.01,0.95,0.97,1.06,1.17,0.98,1.01,1.14,0.75
h_1,0.82,1.0,1.11,0.83,0.75,0.79,1.78,0.91,0.92,1.28,1.02,1.03,0.81,1.24,0.98,1.03
d_0,0.8,0.59,0.94,1.45,1.01,0.77,1.1,1.42,0.65,1.02,1.0,1.0,1.0,0.86,0.89,1.12
c_0,0.88,1.05,0.91,0.77,0.67,0.88,0.99,1.0,1.55,0.97,1.86,1.19,1.12,1.14,1.19,1.42
g_1,0.62,1.28,0.74,0.85,0.9,0.83,1.03,0.86,1.05,2.05,1.08,1.5,0.99,0.97,1.23,1.05
b_0,0.83,0.94,0.99,0.98,0.7,0.65,1.12,0.99,1.08,1.0,1.74,1.06,1.12,1.15,0.97,2.14
f_0,0.68,1.1,0.68,0.87,0.88,0.9,1.08,1.01,1.06,1.12,1.25,1.71,1.15,1.2,1.98,1.32
h_0,0.87,0.95,1.08,0.88,0.74,0.74,0.83,1.0,0.9,1.27,1.07,1.08,0.82,1.31,0.99,1.01
g_0,0.73,1.35,0.76,0.89,0.78,0.74,1.01,0.88,1.1,1.0,1.04,1.53,0.99,0.75,1.09,1.04
e_0,0.5,1.09,1.03,0.87,0.88,0.84,1.08,0.85,1.13,1.04,1.21,1.32,1.25,1.17,2.31,1.32
a_0,0.81,1.01,0.89,1.06,0.8,0.78,1.07,1.0,1.02,1.16,1.25,1.17,1.23,1.08,1.13,1.98
