,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.96,2.0,3.65,2.36,1.99,2.04,7.89,6.68,10.08,11.12,10.28,6.71,15.98,10.94,13.57,7.69
d_1,2.36,6.28,2.08,1.65,2.24,2.23,8.61,9.04,18.28,7.18,13.74,11.89,15.54,12.39,19.34,11.74
e_1,2.53,1.99,6.29,2.66,2.08,2.06,7.87,8.88,9.57,18.39,11.17,11.48,18.45,10.13,15.19,7.17
c_1,2.18,2.19,1.93,7.13,4.07,2.12,7.06,7.45,5.71,9.47,6.65,9.56,14.0,9.6,15.54,10.99
b_1,2.15,2.25,2.03,2.21,7.62,4.54,7.99,7.91,8.05,9.64,6.28,10.15,14.29,7.59,13.72,12.69
a_1,2.54,2.52,2.29,2.24,2.15,9.8,8.77,9.14,9.3,10.18,11.62,10.72,17.65,6.96,16.56,10.01
h_1,3.24,2.47,2.53,2.43,2.33,2.4,17.22,10.63,11.85,9.55,11.11,12.0,12.29,12.67,21.25,12.23
g_1,2.21,3.74,1.99,2.3,2.55,2.02,8.91,20.88,12.84,9.24,13.0,17.17,19.39,12.01,13.5,15.8
c_0,2.64,2.98,2.17,2.11,1.9,2.38,9.08,10.32,19.08,10.83,24.66,12.94,19.34,16.94,17.67,13.54
d_0,2.38,1.31,2.18,4.9,2.66,2.44,8.19,10.34,8.09,18.81,12.24,12.14,17.68,12.0,17.9,13.73
b_0,2.42,3.04,2.33,2.77,1.37,1.74,10.08,9.55,12.3,13.52,22.73,13.34,20.41,28.86,19.32,12.98
f_0,2.15,2.76,2.24,2.71,2.25,2.7,9.73,9.64,11.09,12.37,11.93,22.27,19.1,13.76,19.38,29.33
h_0,2.91,2.85,2.27,2.62,2.49,2.36,6.54,11.5,11.61,12.26,13.24,10.88,13.05,14.7,23.35,13.17
a_0,2.43,2.45,2.41,2.82,2.28,1.61,9.95,9.93,11.39,12.64,12.84,14.01,22.44,28.77,19.73,15.76
g_0,2.44,3.52,2.17,2.33,2.6,2.31,8.49,7.71,13.83,11.68,11.97,17.85,16.72,14.57,14.85,15.69
e_0,2.4,2.96,1.93,2.63,2.85,2.54,10.22,8.75,11.04,11.14,12.85,11.31,18.22,13.19,18.49,29.66
