,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.41,2.24,1.77,1.55,1.56,1.5,2.91,3.73,3.01,3.29,3.46,2.88,4.2,3.05,3.88,4.13
e_1,1.67,2.42,1.95,1.41,1.65,1.62,3.3,5.35,3.68,3.56,3.83,4.17,4.9,3.45,3.92,4.65
c_1,1.64,1.51,2.56,1.88,2.52,1.82,3.07,2.88,3.19,2.53,2.88,3.4,3.87,3.59,3.33,4.39
d_1,1.78,1.76,1.41,2.73,1.55,1.46,3.48,3.01,2.95,5.64,4.37,3.75,4.74,3.95,4.37,4.35
b_1,1.67,1.59,1.49,1.74,2.78,2.89,3.06,3.32,2.88,3.97,3.1,3.64,4.7,3.99,3.0,4.65
a_1,1.85,1.65,1.64,1.78,1.44,3.25,3.42,3.69,3.41,3.5,4.42,3.9,5.54,4.16,3.67,5.32
h_1,2.0,1.67,1.81,1.69,1.78,1.62,4.28,3.39,3.93,3.61,3.54,3.9,3.86,4.27,3.86,5.37
d_0,1.79,1.45,2.62,1.49,1.94,1.56,3.49,4.33,3.73,2.92,3.5,3.37,4.84,4.51,4.0,4.76
g_1,1.71,1.41,1.72,2.41,1.88,1.66,3.15,3.08,4.79,3.83,3.63,4.96,4.36,4.58,3.61,4.21
c_0,1.99,1.8,1.82,1.6,1.41,1.83,3.39,3.99,3.56,4.59,6.27,4.21,4.76,3.88,5.15,4.73
b_0,1.96,1.8,1.99,1.64,1.62,1.38,3.56,3.86,3.65,3.27,4.87,3.78,4.63,4.1,6.63,4.82
f_0,1.64,1.37,2.07,1.85,1.81,1.83,3.37,3.86,3.35,3.62,3.96,5.01,4.98,6.66,3.46,4.51
h_0,2.08,1.73,1.96,1.68,1.87,1.5,3.16,3.42,3.96,3.61,3.92,3.55,3.97,4.17,3.32,5.55
e_0,1.96,1.43,2.07,1.68,1.9,1.87,3.63,3.09,3.33,3.65,3.64,3.39,4.69,5.55,3.96,4.97
a_0,1.94,1.73,1.93,1.61,1.89,1.52,3.59,3.83,4.03,3.28,3.44,3.93,5.43,4.27,5.57,4.96
g_0,1.61,1.59,1.88,2.15,1.84,1.68,3.28,3.51,3.33,3.85,3.81,5.08,4.3,4.64,3.73,4.56
