,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.98,1.12,0.48,0.57,0.65,0.48,2.35,2.67,2.43,2.06,3.23,0.62,2.6,3.35,2.1,3.53
e_1,0.63,6.02,0.52,0.59,0.54,0.54,2.28,2.61,5.68,2.28,2.86,3.2,2.86,4.61,0.63,4.41
d_1,0.68,0.49,6.69,0.44,0.58,0.52,2.22,6.01,0.56,2.01,3.47,3.17,3.42,4.88,3.15,4.91
c_1,0.58,0.57,0.57,6.81,1.14,0.47,1.86,0.6,2.91,2.06,2.11,3.6,2.69,3.51,2.89,3.12
b_1,0.63,0.58,0.71,0.54,7.23,1.1,1.81,2.43,3.17,2.32,0.55,2.56,2.02,4.11,2.79,4.26
a_1,0.7,0.41,0.63,0.66,0.52,9.86,2.56,2.81,2.72,2.01,2.86,2.64,0.68,5.28,3.35,4.82
h_1,1.31,1.09,0.92,1.12,0.7,1.0,14.99,5.37,4.45,4.77,5.53,5.93,6.76,3.39,6.13,9.74
c_0,1.24,1.08,1.37,0.44,0.9,0.88,3.99,12.53,4.04,3.98,9.73,4.47,7.8,7.56,6.08,7.77
d_0,1.05,1.14,0.39,2.25,0.98,0.87,3.43,3.52,12.91,3.59,5.03,5.19,4.27,6.97,5.97,6.33
g_1,0.73,0.83,1.81,1.15,0.88,1.07,2.69,4.51,3.98,17.79,4.71,7.45,5.67,8.23,5.03,3.5
b_0,1.02,1.12,1.28,1.19,0.28,1.02,4.0,5.22,4.56,4.39,14.57,5.85,10.65,8.52,4.89,7.91
f_0,0.37,0.97,1.07,1.37,1.24,1.21,4.41,5.07,4.33,3.76,4.6,16.07,4.76,8.0,12.72,8.96
a_0,1.38,0.92,1.29,0.9,1.11,0.44,4.93,6.03,6.09,3.75,4.94,4.76,19.68,9.54,5.79,8.46
h_0,1.31,1.04,1.15,1.06,0.8,1.21,1.34,5.23,5.27,4.37,5.59,5.01,4.98,3.27,6.22,8.91
e_0,1.18,0.3,0.95,1.05,1.4,1.09,5.17,6.52,4.18,4.58,5.46,5.8,5.64,10.88,23.44,9.14
g_0,0.86,0.94,1.61,1.27,0.82,1.15,4.49,4.78,3.78,1.85,5.16,7.68,4.64,6.06,5.6,3.21
