,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.94,0.34,0.28,0.25,0.26,0.17,0.19,0.14,0.3,0.09,0.19,0.15,0.17,0.15,0.1,0.09
e_1,0.22,0.93,0.24,0.32,0.25,0.21,0.21,0.17,0.19,0.3,0.19,0.16,0.18,0.15,0.12,0.06
f_1,0.31,0.5,0.93,0.29,0.19,0.18,0.2,0.13,0.16,0.18,0.16,0.08,0.15,0.12,0.11,0.11
c_1,0.28,0.28,0.32,0.94,0.39,0.18,0.23,0.18,0.1,0.16,0.1,0.12,0.19,0.17,0.13,0.15
b_1,0.33,0.32,0.38,0.25,0.93,0.32,0.17,0.16,0.17,0.2,0.1,0.16,0.18,0.16,0.09,0.12
a_1,0.4,0.36,0.34,0.35,0.25,0.93,0.2,0.17,0.22,0.2,0.23,0.21,0.21,0.14,,0.12
h_1,0.61,0.4,0.67,0.43,0.6,0.3,0.73,0.46,0.39,0.32,0.3,0.32,0.18,0.35,0.22,0.23
g_1,0.92,0.43,0.56,0.47,0.55,0.36,0.31,0.73,0.28,0.29,0.35,0.38,0.22,0.13,0.25,0.23
c_0,0.59,0.59,0.71,0.35,0.43,0.35,0.42,0.41,0.62,0.39,0.62,0.31,0.39,0.33,0.33,0.25
d_0,0.42,0.43,0.74,0.91,0.41,0.33,0.45,0.37,0.33,0.6,0.31,0.35,0.32,0.29,0.27,0.25
b_0,0.67,0.5,0.67,0.86,0.29,0.29,0.42,0.35,0.34,0.46,0.63,0.29,0.35,0.3,0.48,0.23
f_0,0.78,0.62,0.45,0.65,0.57,0.36,0.4,0.32,0.42,0.38,0.43,0.61,0.38,0.29,0.3,0.39
h_0,0.7,0.59,0.83,0.63,0.52,0.34,0.28,0.59,0.37,0.38,0.37,0.32,0.23,0.41,0.2,0.3
g_0,0.9,0.63,0.72,0.51,0.5,0.5,0.41,0.32,0.42,0.38,0.38,0.53,0.32,0.22,0.27,0.31
a_0,0.82,0.64,0.73,0.72,0.7,,0.46,0.4,0.36,0.41,0.32,0.37,0.51,0.32,0.61,0.29
e_0,0.94,0.34,0.7,0.6,0.7,0.43,0.48,0.41,0.47,0.45,0.45,0.34,0.4,0.31,0.32,0.61
