,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.18,1.64,1.53,1.75,1.66,1.32,0.32,0.47,0.44,0.33,1.36,0.36,0.16,0.29,0.28,0.31
e_1,0.95,0.17,1.82,1.71,1.57,2.04,0.56,0.51,0.36,0.32,0.45,0.43,0.26,0.37,1.51,0.24
d_1,1.68,1.88,0.17,1.75,1.66,1.52,0.48,0.35,1.84,0.3,0.27,0.27,0.23,0.29,0.35,0.14
c_1,1.77,1.65,1.8,0.15,1.73,1.81,0.46,0.52,0.17,1.48,0.31,0.32,0.25,0.33,0.3,0.26
b_1,2.08,1.47,1.98,0.85,0.13,1.66,0.52,0.52,0.32,0.39,0.33,1.82,0.28,0.33,0.36,0.24
a_1,1.64,2.36,1.89,2.11,0.84,0.09,0.43,0.37,0.3,0.48,0.44,0.44,0.26,1.44,0.35,0.24
h_1,0.9,1.17,0.93,1.06,0.76,0.79,0.07,0.28,0.2,0.18,0.16,0.21,0.34,0.23,0.15,0.13
g_1,1.04,0.87,0.87,0.94,1.04,1.02,0.22,0.06,0.21,0.22,0.19,0.2,0.1,0.3,0.2,0.29
d_0,1.23,0.46,2.42,1.07,0.7,1.52,0.25,0.35,0.07,0.24,0.19,0.18,0.13,0.21,0.14,0.24
c_0,0.94,0.77,0.45,7.27,1.47,0.92,0.34,0.3,0.23,0.07,0.15,0.22,0.15,0.22,0.19,0.13
f_0,2.41,0.79,0.74,0.82,1.16,1.09,0.3,0.2,0.16,0.19,0.06,0.17,0.17,0.19,0.17,0.1
b_0,0.77,0.81,0.82,1.29,3.75,0.95,0.28,0.26,0.18,0.08,0.21,0.06,0.12,0.23,0.16,0.11
h_0,1.09,0.83,0.8,1.08,0.9,0.74,0.66,0.29,0.24,0.19,0.16,0.16,0.31,0.18,0.16,0.18
a_0,0.86,0.88,0.8,0.89,1.9,,0.29,0.2,0.18,0.13,0.23,0.09,0.13,0.05,0.18,0.15
e_0,1.13,2.26,0.74,0.8,0.88,0.83,0.27,0.24,0.24,0.16,0.1,0.2,0.18,0.15,0.05,0.12
g_0,1.09,0.88,0.85,0.93,1.14,1.0,0.22,0.7,0.2,0.15,0.12,0.15,0.09,0.16,0.24,
