,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.76,0.86,0.73,0.72,0.79,0.74,1.09,1.61,1.04,0.69,1.22,1.04,1.02,1.1,1.01,1.06
f_1,0.73,1.8,1.33,0.76,0.65,0.69,0.94,0.8,0.92,1.04,0.89,0.69,0.99,0.93,0.87,0.73
e_1,0.75,0.88,1.81,1.0,0.81,0.77,0.96,0.85,0.87,1.57,1.0,1.01,1.05,0.96,0.96,0.83
c_1,0.86,0.75,0.75,2.09,1.4,0.72,0.76,0.66,0.84,0.89,0.64,0.88,0.96,0.82,0.87,1.02
b_1,0.87,0.73,0.72,0.71,2.22,1.54,0.93,0.91,0.89,0.88,0.84,1.12,0.95,0.82,1.06,0.93
a_1,0.89,0.91,0.77,0.89,0.76,2.86,1.0,0.9,0.99,0.94,1.01,0.95,0.97,0.72,1.1,0.88
h_1,0.95,1.1,0.85,0.95,0.63,0.73,1.69,0.99,1.39,0.93,0.93,1.08,0.86,1.04,1.2,1.04
c_0,0.95,0.97,0.89,0.69,0.68,0.86,1.15,1.44,1.17,1.0,1.9,0.98,1.1,1.54,1.18,1.23
g_1,1.24,0.82,0.74,0.9,0.77,0.71,0.96,1.02,1.97,0.74,1.07,1.48,0.99,1.07,0.89,1.4
d_0,0.69,0.89,0.85,1.4,0.99,0.79,0.93,0.81,0.91,1.38,1.0,0.95,0.95,0.91,0.93,0.98
b_0,0.92,0.95,0.88,1.01,0.64,0.7,1.12,1.01,1.08,0.92,1.67,1.11,1.09,1.99,1.13,1.32
f_0,1.02,0.76,0.73,0.94,0.94,0.87,1.14,1.08,1.19,0.92,1.02,1.76,1.05,1.18,1.17,2.05
h_0,0.97,1.14,0.89,0.83,0.87,0.71,0.93,0.94,1.11,0.96,0.94,1.03,0.87,1.1,1.4,1.0
a_0,0.94,1.03,0.87,0.89,0.74,0.6,1.2,1.11,1.11,0.99,0.96,1.05,1.21,2.03,1.21,1.17
g_0,1.33,0.82,0.74,0.9,0.76,0.69,1.04,1.12,1.0,0.86,1.01,1.55,1.02,1.07,1.02,1.24
e_0,0.96,1.04,0.66,0.94,0.81,0.96,1.1,1.04,1.12,1.0,1.09,0.98,1.16,0.98,1.04,1.84
