,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.53,1.46,0.91,1.03,0.97,0.71,0.95,1.29,1.11,0.95,1.03,0.8,1.13,1.04,0.66,1.09
e_1,1.01,1.54,0.91,1.2,0.99,0.84,1.22,1.76,1.03,1.04,1.11,1.1,1.3,1.15,0.94,1.18
d_1,1.21,1.07,1.59,0.9,0.88,0.88,1.08,0.92,1.79,0.87,1.35,1.14,1.37,0.99,1.06,1.1
c_1,1.06,0.95,1.0,1.58,1.49,0.92,1.16,0.95,1.05,1.04,0.81,1.07,1.13,0.89,1.03,1.11
b_1,1.0,0.96,1.08,0.9,1.6,1.48,1.24,1.21,1.19,1.16,1.0,1.06,1.35,0.81,0.9,1.17
a_1,1.26,1.09,1.16,1.08,0.9,1.74,1.42,1.43,1.25,1.28,1.41,1.3,1.52,0.9,1.15,1.43
h_1,1.64,1.23,1.36,1.28,1.09,0.98,1.89,1.43,1.43,1.57,1.34,1.29,1.36,1.21,1.23,1.74
d_0,1.32,1.1,1.17,2.0,1.4,0.92,1.47,1.81,1.07,1.33,1.25,1.43,1.52,1.12,1.28,1.4
c_0,1.49,1.43,1.22,1.17,1.09,1.05,1.55,1.82,1.86,1.42,2.33,1.33,1.69,1.52,1.37,1.57
g_1,1.26,1.21,1.87,1.27,1.19,1.03,1.29,1.36,1.48,1.97,1.39,1.89,1.66,1.26,1.58,1.3
b_0,1.57,1.44,1.41,1.48,0.99,0.82,1.55,1.61,1.39,1.55,1.94,1.45,1.7,2.17,1.33,1.6
f_0,1.42,1.21,1.48,1.43,1.4,1.11,1.58,1.56,1.68,1.39,1.59,1.97,1.77,1.29,2.17,1.41
h_0,1.66,1.4,1.44,1.44,1.3,1.05,1.43,1.61,1.59,1.57,1.6,1.5,1.44,1.3,1.23,1.79
a_0,1.37,1.37,1.52,1.55,1.44,0.89,1.61,1.66,1.68,1.58,1.52,1.67,1.89,1.98,1.36,1.81
e_0,1.75,1.15,1.36,1.39,1.53,1.27,1.57,1.44,1.73,1.37,1.74,1.5,2.15,1.49,1.99,1.6
g_0,1.33,1.3,1.86,1.45,1.35,1.09,1.52,1.67,1.7,1.46,1.54,2.22,1.68,1.56,1.58,1.54
