,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.21,0.89,1.0,0.91,0.75,0.61,0.6,0.68,0.6,0.58,0.58,0.51,0.52,0.5,0.54
e_1,0.84,1.0,0.9,1.12,1.06,0.93,0.72,0.65,0.7,0.86,0.61,0.68,0.63,0.64,0.6,0.62
d_1,1.08,1.1,1.0,0.87,0.87,0.82,0.7,0.84,0.55,0.72,0.71,0.69,0.62,0.6,0.63,0.48
c_1,0.99,0.91,1.13,1.0,1.27,0.81,0.73,0.54,0.68,0.46,0.52,0.63,0.59,0.57,0.54,0.56
b_1,1.13,0.94,1.16,0.78,1.0,1.28,0.77,0.73,0.71,0.63,0.65,0.59,0.65,0.5,0.57,0.62
a_1,1.3,1.11,1.19,1.25,0.82,1.0,0.95,0.83,0.82,0.75,0.93,0.73,0.7,0.77,0.65,0.74
h_1,1.62,1.42,1.4,1.36,1.24,1.04,1.0,0.94,1.11,1.02,0.98,0.94,0.84,0.76,0.77,0.91
c_0,1.66,1.57,1.21,1.81,1.31,1.13,1.07,1.0,0.88,1.09,1.25,0.97,0.9,1.0,0.86,0.8
g_1,1.52,1.39,1.77,1.54,1.44,1.18,0.96,1.07,1.0,0.98,0.89,1.14,0.84,0.94,0.92,0.85
d_0,1.58,1.22,1.36,2.07,1.6,1.32,1.01,0.89,1.04,1.0,0.93,0.95,0.93,0.97,0.79,0.89
b_0,1.67,1.58,1.41,1.87,1.59,1.05,0.99,0.84,1.15,1.12,1.0,0.96,0.96,1.28,0.96,1.02
f_0,1.7,1.48,1.48,1.61,1.68,1.37,1.11,1.05,0.9,1.0,1.08,1.0,1.04,1.0,1.22,0.71
h_0,1.92,1.63,1.67,1.72,1.55,1.31,1.15,1.14,1.23,1.07,1.03,0.98,1.0,0.95,0.93,1.14
a_0,1.88,1.61,1.66,1.79,1.95,1.39,1.36,1.0,1.19,1.05,0.84,1.0,1.06,1.0,0.9,1.01
e_0,2.05,1.67,1.6,1.81,1.71,1.5,1.26,1.04,1.13,1.23,1.07,0.82,1.08,1.04,1.0,1.05
g_0,1.8,1.61,2.04,1.81,1.61,1.36,1.09,1.24,1.21,1.13,1.04,1.39,0.87,0.99,0.97,1.0
