,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,11601.2,2504.91,3129.19,3153.68,7155.18,29297.62,3300357.46,7676048.18,19857855.17,5504439.61,22156645.35,39336421.89,92175221.6,212736079.33,132479674.34,144771991.77
e_1,2018.68,11906.32,3115.58,5053.14,6917.33,34773.59,3450869.39,7437936.96,11333911.15,20520379.64,19416610.29,38003937.24,78011180.99,178861048.08,124950411.99,67279921.3
f_1,2569.16,4780.9,14454.26,4085.3,5134.06,27949.9,3567284.22,5858203.74,7915714.47,10420205.57,15725758.08,15671146.28,72820799.53,138275417.96,107634216.73,121323025.91
c_1,2185.46,2220.91,3205.13,20913.4,12989.07,27507.44,3567408.27,7371794.73,3753070.61,10487956.05,8607651.94,26386437.11,86063407.52,185533423.79,128818250.51,180970419.93
b_1,2648.27,2559.57,3373.89,3968.44,40120.89,62274.8,2630356.56,6809658.35,7509610.88,9593602.72,7370761.79,31669011.69,80348630.61,175754596.61,81012727.42,147754465.0
a_1,2876.79,2752.91,3070.1,4203.32,6708.91,263872.13,2849930.38,6713564.16,10486198.6,9981586.26,16961289.67,39862782.94,86806979.65,146478830.94,66155180.88,141756464.21
h_1,3664.79,2072.9,4802.04,4542.85,9419.69,31733.63,11564318.41,13488311.35,13724493.71,12665625.94,17193357.38,38774516.87,50132827.12,302724221.67,165170358.85,221593306.42
g_1,5567.69,2360.48,3679.14,4242.79,8164.12,37975.46,3601677.23,31123244.52,10427887.95,7562840.1,18629397.92,55031626.22,83077754.93,119114653.73,180275574.75,198062528.32
c_0,3734.93,3442.87,4422.3,2612.14,6232.15,36278.27,4515934.46,10501955.77,26187421.01,13482901.12,41435633.83,40171796.76,117321973.8,241806324.1,207380070.57,210964165.6
d_0,1707.33,2841.26,4439.83,10034.43,7648.21,30846.21,4803097.54,9200314.37,8615176.35,27776528.59,17694964.71,44668378.54,104966056.32,237573286.56,165130472.26,209140551.4
b_0,3607.83,2967.21,4477.58,5917.02,3698.2,25508.16,4112726.02,9813823.59,12523426.94,16829022.57,47355010.1,38306677.62,113014057.57,212799315.46,397986753.08,187075576.26
f_0,4089.34,3030.45,1996.23,5924.33,7571.45,31409.73,4583028.34,9588963.16,12518499.69,14419815.13,21682675.25,100392763.39,108414302.94,231174646.04,165196524.45,363652582.87
h_0,3263.26,3146.1,5889.01,5462.28,7792.33,28206.57,2470107.61,13105644.41,11904714.75,12989479.36,21702132.33,35985981.81,58958300.56,304714347.5,117208781.68,218387345.27
g_0,4870.24,3045.83,3762.02,4688.82,6949.06,41830.56,3967302.93,6093686.87,12961897.59,12527917.95,20020937.44,71288644.79,91988877.24,154696843.66,176291645.46,219784990.9
a_0,3419.55,2734.26,4159.18,6698.16,9937.62,10967.08,3771945.71,10398809.87,10863806.21,12449814.99,18047483.77,45551547.35,133683145.7,217664910.59,518177576.93,212392316.05
e_0,4126.59,1559.2,4376.02,4920.54,9546.51,30728.44,4341791.28,10166137.42,13602456.49,12384883.5,23238714.07,40739006.51,120668548.99,192544861.32,185003732.59,629472626.26
