,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.95,0.44,0.39,0.31,0.36,0.25,0.33,0.45,0.24,0.22,0.3,0.24,0.26,0.2,0.22,0.23
f_1,0.42,0.94,0.68,0.35,0.29,0.25,0.28,0.25,0.22,0.3,0.24,0.12,0.22,0.17,0.2,0.14
e_1,0.47,0.39,0.94,0.43,0.38,0.29,0.27,0.26,0.22,0.42,0.26,0.26,0.26,0.19,0.21,0.11
c_1,0.53,0.44,0.4,0.94,0.64,0.25,0.22,0.15,0.23,0.23,0.17,0.21,0.25,0.17,0.22,0.2
b_1,0.52,0.49,0.42,0.3,0.94,0.54,0.33,0.3,0.25,0.24,0.21,0.28,0.27,0.18,0.24,0.19
a_1,0.56,0.63,0.46,0.49,0.29,0.94,0.35,0.33,0.31,0.29,0.35,0.31,0.33,0.15,0.3,0.16
h_1,0.66,0.84,0.67,0.75,0.43,0.37,0.75,0.42,0.56,0.37,0.35,0.39,0.3,0.3,0.4,0.26
c_0,0.67,0.74,0.7,0.64,0.51,0.45,0.52,0.66,0.49,0.47,0.72,0.38,0.43,0.42,0.41,0.32
g_1,1.01,0.73,0.62,0.68,0.51,0.39,0.4,0.41,0.74,0.34,0.36,0.51,0.39,0.29,0.32,0.29
d_0,0.51,0.74,0.63,1.11,0.66,0.42,0.48,0.38,0.44,0.65,0.45,0.37,0.42,0.29,0.32,0.25
b_0,0.71,0.87,0.69,0.85,0.46,0.46,0.54,0.4,0.47,0.43,0.65,0.47,0.46,0.58,0.38,0.33
f_0,0.9,0.69,0.59,0.82,0.64,0.43,0.49,0.52,0.48,0.49,0.41,0.65,0.46,0.45,0.36,0.6
h_0,0.9,1.08,0.76,0.75,0.65,0.4,0.44,0.49,0.54,0.5,0.42,0.42,0.36,0.35,0.5,0.33
a_0,0.96,0.93,0.8,0.82,0.64,0.33,0.69,0.49,0.49,0.53,0.39,0.42,0.55,0.63,0.47,0.38
g_0,1.28,0.77,0.74,0.81,0.6,0.45,0.52,0.55,0.45,0.48,0.46,0.66,0.43,0.36,0.35,0.41
e_0,0.83,1.13,0.61,0.72,0.7,0.6,0.7,0.58,0.61,0.62,0.45,0.38,0.49,0.38,0.36,0.6
