,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.25,0.99,0.94,0.78,0.7,0.58,0.67,0.69,0.62,0.59,0.54,0.52,0.55,0.54,0.48
e_1,0.82,1.0,1.16,0.93,1.05,0.85,0.71,0.68,0.89,0.64,0.63,0.72,0.65,0.58,0.6,0.6
c_1,1.01,0.85,1.0,1.06,1.2,0.89,0.76,0.7,0.49,0.55,0.53,0.62,0.58,0.54,0.58,0.56
d_1,1.11,1.07,0.95,1.0,0.93,0.85,0.67,0.59,0.67,0.81,0.66,0.62,0.62,0.59,0.48,0.57
b_1,1.27,0.96,0.84,1.08,1.0,1.22,0.81,0.74,0.66,0.76,0.73,0.66,0.66,0.58,0.65,0.5
a_1,1.37,1.15,1.13,1.11,0.84,1.0,0.9,0.84,0.88,0.74,0.74,0.79,0.83,0.77,0.71,0.61
h_1,1.68,1.4,1.33,1.47,1.21,1.12,1.0,0.99,0.91,0.89,0.91,0.81,0.91,0.76,0.89,0.75
g_1,1.48,1.48,1.38,1.65,1.34,1.26,1.0,1.0,0.91,0.93,0.97,1.04,0.84,0.91,0.83,0.89
d_0,1.4,1.14,2.04,1.44,1.56,1.15,1.11,1.12,1.0,0.76,0.92,0.99,0.97,0.96,0.9,0.94
c_0,1.65,1.63,1.81,1.28,1.26,1.29,1.08,1.07,1.26,1.0,1.28,1.0,1.07,1.16,0.97,0.99
b_0,1.69,1.61,1.85,1.54,1.38,1.36,1.1,1.01,1.04,0.77,1.0,0.93,0.97,1.25,0.88,0.88
f_0,1.79,1.5,1.57,1.63,1.45,1.31,1.22,0.96,1.05,1.02,1.07,1.0,1.06,0.97,0.78,1.27
h_0,1.86,1.58,1.66,1.59,1.51,1.21,1.1,1.23,1.06,0.97,1.02,0.93,1.0,0.96,0.98,0.85
a_0,1.76,1.7,1.84,1.78,1.7,1.23,1.26,1.1,1.01,0.86,0.81,1.06,1.0,1.0,0.93,1.05
g_0,1.86,1.7,1.76,2.02,1.55,1.31,1.12,1.16,1.04,1.03,1.12,1.27,1.02,1.04,1.0,1.14
e_0,2.06,1.66,1.85,1.71,1.96,1.67,1.37,1.13,1.15,0.94,1.22,0.81,1.14,0.93,0.9,1.0
